,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,CTDXMISS,CTDXMISSCP,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
20,  49NZ20130106,  S04I,88.0,2.0,17.0, X12J17,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   1831.6,2.0,   0.7776,2.0,   0.77767,2.0,  34.7068,2.0,  34.7065,2.0,-999.0000,9.0,   207.37,2.0,   207.26,2.0,  100.045,  -0.0018,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   111.91,2.0,     0.16,    32.08,2.0,     0.04,     0.00,2.0,     0.01,     2.23,2.0,     0.01,    0.297,2.0,    0.133,2.0,    0.012,2.0,    0.058,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
21,  49NZ20130106,  S04I,88.0,2.0,16.0, X12J16,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   2081.5,2.0,   0.6042,2.0,   0.60412,2.0,  34.6977,2.0,  34.6974,2.0,-999.0000,9.0,   210.29,2.0,   210.26,2.0,  100.062,  -0.0025,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   116.65,2.0,     0.16,    32.36,2.0,     0.05,     0.00,2.0,     0.01,     2.23,2.0,     0.01,    0.336,2.0,    0.158,2.0,    0.017,2.0,    0.075,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
22,  49NZ20130106,  S04I,88.0,2.0,15.0, X12J15,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   2329.5,2.0,   0.4430,2.0,   0.44291,2.0,  34.6903,2.0,  34.6901,2.0,-999.0000,9.0,   214.15,2.0,   214.22,2.0,  100.064,  -0.0026,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   120.30,2.0,     0.17,    32.50,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    0.422,2.0,    0.197,2.0,    0.021,2.0,    0.055,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
23,  49NZ20130106,  S04I,88.0,2.0,14.0, X12J14,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   2580.9,2.0,   0.2958,2.0,   0.29595,2.0,  34.6837,2.0,  34.6834,2.0,-999.0000,9.0,   218.48,2.0,   218.31,2.0,  100.050,  -0.0020,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   122.73,2.0,     0.17,    32.55,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    0.559,2.0,    0.268,2.0,    0.067,3.0,    0.084,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
24,  49NZ20130106,  S04I,88.0,2.0,13.0, X12J13,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   2828.8,2.0,   0.2387,2.0,   0.23888,2.0,  34.6810,2.0,  34.6804,2.0,-999.0000,9.0,   220.76,2.0,   220.56,2.0,  100.064,  -0.0026,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   123.96,2.0,     0.17,    32.57,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    0.650,2.0,    0.314,2.0,    0.036,2.0,    0.156,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
25,  49NZ20130106,  S04I,88.0,2.0,12.0, X12J12,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   3079.5,2.0,   0.1668,2.0,   0.16709,2.0,  34.6779,2.0,  34.6772,2.0,-999.0000,9.0,   223.60,2.0,   223.28,2.0,  100.081,  -0.0032,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   125.30,2.0,     0.17,    32.58,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    0.748,2.0,    0.367,2.0,    0.044,2.0,    0.242,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
26,  49NZ20130106,  S04I,88.0,2.0,11.0, X12J11,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   3331.2,2.0,   0.0770,2.0,   0.07724,2.0,  34.6730,2.0,  34.6723,2.0,-999.0000,9.0,   226.89,2.0,   226.88,2.0,   99.995,   0.0002,2.0,   -0.010,2.0,  -999.00,9.0,    0.000,2.0,   125.09,2.0,     0.17,    32.54,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    0.971,2.0,    0.473,2.0,    0.063,2.0,    0.276,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
27,  49NZ20130106,  S04I,88.0,2.0,10.0, X12J10,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   3581.7,2.0,   0.0167,2.0,   0.01679,2.0,  34.6689,2.0,  34.6683,2.0,-999.0000,9.0,   229.74,2.0,   229.69,2.0,   99.976,   0.0010,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   125.35,2.0,     0.17,    32.45,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    1.153,2.0,    0.575,2.0,    0.083,2.0,    0.335,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
28,  49NZ20130106,  S04I,88.0,2.0,9.0, X12J09,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   3830.3,2.0,  -0.0273,2.0,  -0.02719,2.0,  34.6654,2.0,  34.6649,2.0,-999.0000,9.0,   232.02,2.0,   232.07,2.0,   99.885,   0.0046,2.0,   -0.000,2.0,  -999.00,9.0,    0.000,2.0,   125.94,2.0,     0.17,    32.45,2.0,     0.05,     0.00,2.0,     0.01,     2.25,2.0,     0.01,    1.330,2.0,    0.676,2.0,    0.095,2.0,    0.371,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
29,  49NZ20130106,  S04I,88.0,2.0,8.0, X12J08,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   4080.3,2.0,  -0.0623,2.0,  -0.06226,2.0,  34.6611,2.0,  34.6655,4.0,-999.0000,9.0,   234.30,2.0,   234.12,2.0,   99.916,   0.0034,2.0,   -0.010,2.0,  -999.00,9.0,    0.000,2.0,   124.83,2.0,     0.17,    32.40,2.0,     0.05,     0.00,2.0,     0.01,     2.24,2.0,     0.01,    1.539,6.0,    0.781,6.0,    0.119,6.0,    0.386,6.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
30,  49NZ20130106,  S04I,88.0,2.0,7.0, X12J07,9.0,20130112.0,2018,-61.6202,107.4453, 4291,   -999.0,9.0,-999.0000,9.0,-999.00000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,-999.0000,9.0, -999.000,9.0,  -999.00,9.0, -999.000,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
31,  49NZ20130106,  S04I,88.0,2.0,6.0, X12J06,9.0,20130112.0,2018,-61.6202,107.4453, 4291,   -999.0,9.0,-999.0000,9.0,-999.00000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,-999.0000,9.0, -999.000,9.0,  -999.00,9.0, -999.000,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
