,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
55,09SS20090203, P15,4.0,1.0,17.0,12024.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,364,7.176,34.347,2.0,34.3531,2.0,264.7,2.0,263.8,2.0,6.61,2.0,20.44,2.0,1.38,2.0,4.005,2.0,2.22,2.0,2130.3,2.0,2279.7,2.0,7.1414
56,09SS20090203, P15,4.0,1.0,16.0,12001.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,465.4,6.741,34.318,2.0,34.3184,2.0,261.6,2.0,261.9,2.0,8.06,2.0,22.02,2.0,1.46,2.0,-999,9.0,-999,9.0,2135.4,3.0,2276.7,6.0,6.698
57,09SS20090203, P15,4.0,1.0,15.0,12025.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,548.2,6.596,34.347,2.0,34.3427,2.0,244.9,2.0,245,2.0,10.99,2.0,23.51,2.0,1.55,2.0,3.569,2.0,1.937,2.0,2148.2,2.0,2275.9,2.0,6.5456
58,09SS20090203, P15,4.0,1.0,14.0,12041.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,631.2,6.132,34.327,2.0,-999,9.0,235.4,2.0,236,2.0,14.4,2.0,25.51,2.0,1.66,2.0,-999,9.0,-999,9.0,2156.9,2.0,2274.5,2.0,6.0758
59,09SS20090203, P15,4.0,1.0,13.0,12012.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,830.7,4.812,34.287,2.0,34.2888,2.0,221.9,2.0,222.9,2.0,24.6,2.0,29.28,2.0,1.91,2.0,2.174,3.0,1.441,3.0,2180.5,2.0,2284.2,2.0,4.7453
60,09SS20090203, P15,4.0,1.0,12.0,12022.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,1029.8,3.89,34.326,2.0,34.3276,2.0,205.7,2.0,206.6,2.0,38.39,2.0,31.99,2.0,2.1,2.0,-999,9.0,-999,9.0,2203.6,6.0,2289.9,6.0,3.813
61,09SS20090203, P15,4.0,1.0,11.0,12016.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,1230.7,3.072,34.369,2.0,34.3711,2.0,194.5,2.0,195.8,2.0,51.32,2.0,33.81,2.0,2.24,2.0,1.723,3.0,0.867,2.0,2223.8,2.0,2303.4,2.0,2.9858
62,09SS20090203, P15,4.0,1.0,10.0,12019.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,1415.6,2.887,34.481,2.0,34.4823,2.0,177.4,2.0,179,2.0,65.71,2.0,34.59,2.0,2.3,2.0,-999,9.0,-999,9.0,2243.1,2.0,2319.8,2.0,2.7876
63,09SS20090203, P15,4.0,1.0,9.0,12031.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,1563.8,2.685,34.542,2.0,34.5407,2.0,172.3,2.0,172.6,2.0,73.25,2.0,34.42,2.0,2.31,2.0,0.567,2.0,0.267,2.0,2252.3,2.0,2325.4,2.0,2.5757
64,09SS20090203, P15,4.0,1.0,8.0,12021.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,1746.9,2.525,34.598,2.0,34.5995,2.0,172,2.0,173.1,2.0,77.77,2.0,33.63,2.0,2.22,2.0,-999,9.0,-999,9.0,2254.7,2.0,2330.9,2.0,2.4024
65,09SS20090203, P15,4.0,1.0,7.0,12032.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,2331.8,2.141,34.711,2.0,34.7129,2.0,183.3,2.0,184.1,2.0,86.94,2.0,32.28,2.0,2.14,2.0,0.162,2.0,0.068,2.0,2253,2.0,2340,2.0,1.9732
66,09SS20090203, P15,4.0,1.0,6.0,12007.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,2833.1,1.822,34.737,2.0,34.7372,2.0,193.3,2.0,196.5,2.0,94.79,2.0,31.34,2.0,2.09,2.0,-999,9.0,-999,9.0,2253,2.0,2344.3,6.0,1.6139
67,09SS20090203, P15,4.0,1.0,5.0,12055.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,3331.9,1.426,34.729,2.0,34.7302,2.0,200,2.0,200.6,2.0,107.27,2.0,31.87,2.0,2.13,2.0,0.083,2.0,0.04,2.0,2257.2,2.0,2355,2.0,1.1784
68,09SS20090203, P15,4.0,1.0,4.0,12009.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,3831.3,1.136,34.716,2.0,34.7168,2.0,205.7,2.0,206.2,2.0,116,2.0,32.02,2.0,2.16,2.0,-999,9.0,-999,9.0,2260.2,2.0,2349.5,3.0,0.845
69,09SS20090203, P15,4.0,1.0,3.0,12033.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,4332.6,0.975,34.708,2.0,34.7109,2.0,209.8,2.0,208.9,2.0,122.19,2.0,32.53,2.0,2.18,2.0,0.18,2.0,0.078,2.0,2260.9,2.0,2361,2.0,0.6349
70,09SS20090203, P15,4.0,1.0,2.0,12006.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,4914.8,0.963,34.705,2.0,34.7062,2.0,211.7,2.0,209.8,2.0,124.63,2.0,32.55,2.0,2.2,2.0,-999,9.0,-999,9.0,2261,2.0,2363.8,2.0,0.5569
71,09SS20090203, P15,4.0,1.0,1.0,12045.0,2.0,20090207.0,906.0,-49.0084,-169.9429,5169,5282.5,0.997,34.705,2.0,34.7049,2.0,212.1,2.0,209.8,2.0,124.94,2.0,32.6,2.0,2.19,2.0,0.23,6.0,0.105,6.0,2263,6.0,2356.2,6.0,0.5456
72,09SS20090203, P15,5.0,1.0,24.0,12015.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,18.5,12.121,34.262,2.0,-999,9.0,271.4,2.0,268.8,2.0,0.81,2.0,9.84,2.0,0.68,2.0,-999,9.0,-999,9.0,2066,2.0,2271.7,2.0,12.1186
73,09SS20090203, P15,5.0,1.0,23.0,12046.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,70.2,10.535,34.71,2.0,-999,9.0,258.2,2.0,262.3,2.0,1.72,2.0,9.4,2.0,0.73,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,10.5267
74,09SS20090203, P15,5.0,1.0,22.0,12020.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,99.1,10.546,34.754,2.0,-999,9.0,255.8,2.0,254.5,2.0,2.54,2.0,11.09,2.0,0.8,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,10.5342
75,09SS20090203, P15,5.0,1.0,21.0,12003.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,154.2,9.722,34.65,2.0,-999,9.0,256.4,2.0,255.7,2.0,3.13,2.0,13.14,2.0,0.94,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,9.7045
76,09SS20090203, P15,5.0,1.0,20.0,12051.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,199.5,9.876,34.721,2.0,-999,9.0,250.9,2.0,250.2,2.0,3.51,2.0,13.15,2.0,0.92,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,9.8531
77,09SS20090203, P15,5.0,1.0,19.0,12010.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,248.1,9.544,34.693,2.0,-999,9.0,240.5,2.0,238.8,2.0,4.6,2.0,15.51,2.0,1.07,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,9.5161
78,09SS20090203, P15,5.0,1.0,18.0,12018.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,298.1,8.933,34.599,2.0,-999,9.0,240.8,2.0,238.6,2.0,5.21,2.0,17.15,2.0,1.17,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,8.9007
79,09SS20090203, P15,5.0,1.0,17.0,12024.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,419,8.034,34.49,2.0,-999,9.0,238.8,2.0,236.9,2.0,6.45,2.0,19.54,2.0,1.33,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,7.9912
80,09SS20090203, P15,5.0,1.0,16.0,12001.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,502.1,7.669,34.456,2.0,-999,9.0,238.6,2.0,237,2.0,7.53,2.0,20.64,2.0,1.41,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,7.6188
81,09SS20090203, P15,5.0,1.0,15.0,12025.0,2.0,20090207.0,1621.0,-48.49100000000001,-169.9859,5284,597.4,6.988,34.374,2.0,-999,9.0,248.3,2.0,248.4,2.0,9.34,2.0,21.79,2.0,1.49,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,6.9311
