,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
247,  33LG20060321,  SR01,14.0,1.0,248.0,4.0,2.0,20060326.0,1152.0,-59.618,-63.412, 3865,    607.4,   2.1000,  34.6600,2.0,  34.6590,2.0,    179.1,2.0,    70.84,2.0,    30.06,2.0,     0.02,2.0,     2.19,2.0,   2259.5,2.0,    576.0,2.0,      2.1,   -151.5,2.0,      2.2,     0.39,2.0,   2.0648
248,  33LG20060321,  SR01,14.0,1.0,249.0,5.0,2.0,20060326.0,1156.0,-59.618,-63.412, 3865,    504.0,   2.1400,  34.6350,2.0,  34.6390,2.0,    176.6,2.0,    75.30,3.0,    28.43,2.0,     0.02,2.0,     2.16,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1111
249,  33LG20060321,  SR01,14.0,1.0,250.0,6.0,2.0,20060326.0,1159.0,-59.618,-63.412, 3865,    404.5,   2.1300,  34.5860,2.0,  34.5900,2.0,    177.4,2.0,    65.03,2.0,    31.29,2.0,     0.02,2.0,     2.24,2.0,   2257.6,2.0,    606.4,2.0,     2.13,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1072
250,  33LG20060321,  SR01,14.0,1.0,251.0,7.0,2.0,20060326.0,1201.0,-59.618,-63.412, 3865,    302.8,   2.0600,  34.5130,2.0,  34.5190,2.0,    183.9,2.0,    60.32,2.0,    30.82,2.0,     0.02,2.0,     2.23,2.0,   2253.3,2.0,    616.0,2.0,     2.06,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.0434
251,  33LG20060321,  SR01,14.0,1.0,252.0,8.0,2.0,20060326.0,1203.0,-59.618,-63.412, 3865,    254.4,   1.8800,  34.4430,2.0,  34.4460,2.0,    195.6,2.0,    55.37,2.0,    31.59,2.0,     0.02,2.0,     2.27,2.0,   2247.1,2.0,    610.7,2.0,     1.88,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.8666
252,  33LG20060321,  SR01,14.0,1.0,253.0,9.0,2.0,20060326.0,1205.0,-59.618,-63.412, 3865,    201.5,   1.4900,  34.3360,2.0,  34.3410,2.0,    221.5,2.0,    49.88,2.0,    30.91,2.0,     0.02,2.0,     2.29,2.0,   2233.2,2.0,    573.0,2.0,     1.49,   -115.3,2.0,      2.2,     0.55,2.0,   1.4801
253,  33LG20060321,  SR01,14.0,1.0,254.0,10.0,2.0,20060326.0,1206.0,-59.618,-63.412, 3865,    151.8,   0.8300,  34.2150,2.0,  34.2190,2.0,    259.7,2.0,    42.49,2.0,    29.35,2.0,     0.02,2.0,     2.14,2.0,   2216.8,2.0,    413.2,2.0,     0.83,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.8235
254,  33LG20060321,  SR01,14.0,1.0,255.0,11.0,2.0,20060326.0,1208.0,-59.618,-63.412, 3865,    101.2,  -0.8400,  33.9800,2.0,  33.9890,2.0,    330.4,2.0,    31.40,2.0,    25.06,2.0,     0.26,2.0,     2.00,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,  -0.8428
255,  33LG20060321,  SR01,14.0,1.0,256.0,12.0,2.0,20060326.0,1209.0,-59.618,-63.412, 3865,     76.0,  -0.8400,  33.8970,2.0,  33.9190,2.0,    350.1,2.0,    27.01,2.0,    24.18,2.0,     0.19,2.0,     1.90,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,  -0.8421
256,  33LG20060321,  SR01,14.0,1.0,257.0,13.0,2.0,20060326.0,1210.0,-59.618,-63.412, 3865,     61.0,  -0.2300,  33.8570,2.0,  33.8760,2.0,    353.3,2.0,    23.18,2.0,    23.52,2.0,     0.21,2.0,     1.90,2.0,   2164.4,2.0,    373.6,2.0,    -0.23,   -999.0,9.0,   -999.0,     1.11,2.0,  -0.2320
257,  33LG20060321,  SR01,14.0,1.0,258.0,14.0,2.0,20060326.0,1212.0,-59.618,-63.412, 3865,     44.7,   3.0900,  33.7200,2.0,  33.7460,2.0,    331.8,2.0,    12.05,2.0,    19.14,2.0,     0.24,2.0,     1.50,2.0,   2133.9,2.0,    356.2,2.0,     3.09,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.0873
258,  33LG20060321,  SR01,14.0,1.0,259.0,15.0,2.0,20060326.0,1212.0,-59.618,-63.412, 3865,     24.6,   3.1100,  33.7260,2.0,  33.7310,2.0,    330.1,2.0,    10.85,2.0,    17.11,2.0,     0.24,2.0,     1.46,2.0,   2133.1,2.0,    353.2,2.0,     3.11,   -999.0,9.0,   -999.0,     1.54,2.0,   3.1085
259,  33LG20060321,  SR01,14.0,1.0,260.0,16.0,2.0,20060326.0,1213.0,-59.618,-63.412, 3865,     10.4,   3.1100,  33.7260,2.0,  33.7280,2.0,    330.5,2.0,    10.93,2.0,    19.44,2.0,     0.26,2.0,     1.36,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.1094
260,  33LG20060321,  SR01,14.0,1.0,261.0,17.0,2.0,20060326.0,1214.0,-59.618,-63.412, 3865,      5.4,   3.1200,  33.7260,2.0,  33.7320,2.0,    330.4,2.0,    10.71,2.0,    19.37,2.0,     0.25,2.0,     1.54,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.1197
261,  33LG20060321,  SR01,14.0,1.0,262.0,18.0,2.0,20060326.0,1214.0,-59.618,-63.412, 3865,      4.9,   3.1200,  33.7250,2.0,  33.7300,2.0,    330.6,2.0,    10.81,2.0,    19.24,2.0,     0.25,2.0,     1.38,2.0,   2130.9,2.0,   -999.0,9.0,     -999,    -76.8,2.0,      2.2,     1.78,2.0,   3.1197
262,  33LG20060321,  SR01,15.0,1.0,263.0,1.0,2.0,20060326.0,1544.0,-59.978,-63.312, 3865,   2900.6,   0.5700,  34.7100,2.0,  34.7110,2.0,    214.9,2.0,   119.67,2.0,    29.09,2.0,     0.03,2.0,     2.70,3.0,   2261.1,2.0,    494.9,2.0,     0.57,   -999.0,9.0,   -999.0,     0.45,2.0,   0.3824
263,  33LG20060321,  SR01,15.0,1.0,264.0,2.0,2.0,20060326.0,1553.0,-59.978,-63.312, 3865,   2540.7,   0.7800,  34.7160,2.0,  34.7170,2.0,    210.4,2.0,   109.94,2.0,    28.85,2.0,     0.02,2.0,     2.20,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.6189
264,  33LG20060321,  SR01,15.0,1.0,265.0,3.0,2.0,20060326.0,1607.0,-59.978,-63.312, 3865,   2030.7,   1.1000,  34.7250,2.0,  34.7270,2.0,    205.0,2.0,   104.10,2.0,    28.38,2.0,     0.02,2.0,     2.12,2.0,   2266.5,2.0,    498.1,2.0,      1.1,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.9746
265,  33LG20060321,  SR01,15.0,1.0,266.0,4.0,2.0,20060326.0,1618.0,-59.978,-63.312, 3865,   1518.9,   1.4200,  34.7330,2.0,  34.7420,2.0,    198.0,2.0,    92.82,2.0,    27.66,2.0,     0.02,2.0,     2.09,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.3287
266,  33LG20060321,  SR01,15.0,1.0,267.0,5.0,2.0,20060326.0,1628.0,-59.978,-63.312, 3865,   1011.0,   1.8300,  34.7270,2.0,  34.7290,2.0,    189.6,2.0,    81.34,2.0,    28.37,2.0,     0.02,2.0,     2.13,2.0,   2256.0,2.0,    530.4,2.0,     1.83,   -999.0,9.0,   -999.0,     0.37,2.0,   1.7702
267,  33LG20060321,  SR01,15.0,1.0,268.0,6.0,2.0,20060326.0,1632.0,-59.978,-63.312, 3865,    809.6,   2.0000,  34.7010,2.0,  34.6960,2.0,    184.1,2.0,    85.82,2.0,    27.04,2.0,     0.03,2.0,     2.25,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.9524
268,  33LG20060321,  SR01,15.0,1.0,269.0,7.0,2.0,20060326.0,1637.0,-59.978,-63.312, 3865,    608.0,   2.1100,  34.6610,2.0,  34.6600,2.0,    179.0,2.0,    68.79,2.0,    28.03,2.0,     0.03,2.0,     2.28,2.0,   2255.6,2.0,    578.4,2.0,     2.11,   -999.0,9.0,   -999.0,     0.34,2.0,   2.0748
