,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
49,  06AQ20071128,   A12,318.0,1.0,23.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    500.8,   0.7270,  34.6670,2.0,    210.5,2.0,    33.30,2.0,   2254.3,2.0,   2354.2,2.0,   0.7040
50,  06AQ20071128,   A12,318.0,1.0,22.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    500.9,   0.7260,  34.6670,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.7030
51,  06AQ20071128,   A12,318.0,1.0,21.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    350.5,   0.3960,  34.6150,2.0,    273.5,2.0,    32.80,2.0,   2233.8,2.0,   2337.1,2.0,   0.3810
52,  06AQ20071128,   A12,318.0,1.0,20.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    250.6,  -1.0880,  34.4820,2.0,    273.3,2.0,    32.60,2.0,   2231.5,2.0,   2336.5,2.0,  -1.0950
53,  06AQ20071128,   A12,318.0,1.0,19.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    250.9,  -1.1730,  34.4730,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.1800
54,  06AQ20071128,   A12,318.0,1.0,18.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    200.2,  -1.7160,  34.4230,2.0,    295.8,2.0,    30.80,2.0,   2226.0,2.0,   2332.7,2.0,  -1.7200
55,  06AQ20071128,   A12,318.0,1.0,17.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    200.3,  -1.7310,  34.4200,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.7350
56,  06AQ20071128,   A12,318.0,1.0,16.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    160.7,  -1.8310,  34.4070,2.0,    299.2,2.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,  -1.8340
57,  06AQ20071128,   A12,318.0,1.0,15.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    160.9,  -1.8300,  34.4070,2.0,    299.2,2.0,    32.30,2.0,   2224.5,2.0,   2333.4,2.0,  -1.8330
58,  06AQ20071128,   A12,318.0,1.0,14.0,2.0,-999.0,0.0,-69.537,-2.889, 3286,    120.4,  -1.8350,  34.4000,2.0,    300.4,2.0,    32.00,2.0,   2223.9,2.0,   2330.6,2.0,  -1.8370
