,EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
29,  29HE20130320,2.0,1.0,7.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    204.0,   4.5106,  34.0821,2.0,    285.8,2.0,    285.1,2.0,    10.66,2.0,    24.47,2.0,     1.60,2.0,   2272.9,2.0,7.6937,2.0,    25.00,   4.4957
30,  29HE20130320,2.0,1.0,8.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    203.3,   4.5091,  34.0822,2.0,    285.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2273.0,2.0,-999.0,9.0,  -999.00,   4.4943
31,  29HE20130320,2.0,1.0,9.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    153.9,   4.8714,  34.0833,2.0,    293.7,2.0,    293.6,2.0,     7.09,2.0,    23.32,2.0,     1.48,2.0,   2274.1,2.0,7.7126,2.0,    25.00,   4.8598
32,  29HE20130320,2.0,1.0,10.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    152.8,   4.8737,  34.0831,2.0,    293.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2274.1,2.0,-999.0,9.0,  -999.00,   4.8622
33,  29HE20130320,2.0,1.0,11.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    101.2,   6.6327,  34.0335,2.0,    294.5,2.0,    294.3,2.0,     2.80,2.0,    19.74,2.0,     1.31,2.0,   2268.9,2.0,7.7545,2.0,    25.00,   6.6237
34,  29HE20130320,2.0,1.0,12.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,    101.6,   6.6232,  34.0335,2.0,    294.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2268.9,2.0,-999.0,9.0,  -999.00,   6.6142
35,  29HE20130320,2.0,1.0,13.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,     50.7,   7.5401,  33.9963,2.0,    299.0,2.0,    299.4,2.0,     1.67,2.0,    17.38,2.0,     1.08,2.0,   2270.7,2.0,7.7955,2.0,    25.00,   7.5353
36,  29HE20130320,2.0,1.0,14.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,     51.5,   7.5401,  33.9963,2.0,    299.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.7,2.0,-999.0,9.0,  -999.00,   7.5352
37,  29HE20130320,2.0,1.0,15.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.1,   7.7156,  33.9884,2.0,    298.5,2.0,    299.2,2.0,     1.78,2.0,    17.24,2.0,     0.99,2.0,   2270.5,2.0,7.7985,2.0,    25.00,   7.7151
38,  29HE20130320,2.0,1.0,16.0,2.0,20130323.0,1740.0,-50.103,-56.476,  501,      5.2,   7.7140,  33.9886,2.0,    300.9,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2270.5,2.0,-999.0,9.0,  -999.00,   7.7135
