EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FLUOR,FLUOR_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PAR,PAR_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,MG/M^3,,UMOL/KG,,UMOL/KG,,UMOL/KG,,VOLTS,
09AR20080322,       TEST,       1,          1,          4,          4,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.2,   2.0882,  34.7412,2,-999.0000,9,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.027,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          3,          3,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2206.0,   2.0867,  34.7412,2,-999.0000,9,  -999.00,5, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.026,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          2,          2,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2205.0,   2.0862,  34.7412,2,  34.7402,2,  -999.00,5,  190.28,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.024,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       1,          1,          1,          1,2,20080323,       2248,   -50.2012,   145.3860,       4167,  2204.4,   2.0858,  34.7413,2,  34.7412,2,  -999.00,5,  201.84,2,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,  -0.030,2,  -999.0,9, -999.00,9, -999.00,9,      0.001,2
09AR20080322,       TEST,       2,          1,         24,         24,2,20080325,       0000,   -54.4012,   143.8132,       2772,     8.0,   4.5249,  33.7062,2,-999.0000,9,   316.67,2, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,   1.647,2,  -999.0,9, -999.00,9, -999.00,9,      2.957,2
09AR20080322,       TEST,       2,          1,         23,         23,2,20080325,       0000,   -54.4012,   143.8132,       2772,    28.6,   4.4840,  33.7137,2,-999.0000,9,   316.47,2, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,   2.257,2,  -999.0,9, -999.00,9, -999.00,9,      2.370,2
09AR20080322,       TEST,       2,          1,         22,         22,2,20080325,       0000,   -54.4012,   143.8132,       2772,    28.5,   4.4833,  33.7138,2,-999.0000,9,   316.47,2, -999.00,9,  -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.0,9,  -999.0,9,   2.384,2,  -999.0,9, -999.00,9, -999.00,9,      2.425,2
09AR20080322,       TEST,       2,          1,         21,         21,2,20080325,       0000,   -54.4012,   143.8132,       2772,    28.7,   4.4831,  33.7137,2,  33.7136,2,   316.47,2,  316.62,2,     1.8,2,    1.62,2,-999.0000,9,-999.0000,9,-999.0000,9,  2120.5,2,  2271.4,6,   2.660,2,  -999.0,9, -999.00,9,   24.74,2,      2.425,2
09AR20080322,       TEST,       2,          1,         20,         20,2,20080325,       0000,   -54.4012,   143.8132,       2772,    69.0,   4.4568,  33.7153,2,  33.7147,2,   315.76,2,  316.09,2,     2.0,2,    1.63,2,-999.0000,9,-999.0000,9,-999.0000,9,  2122.6,2,  2273.0,2,   2.564,2,  -999.0,9, -999.00,9,   24.84,2,      1.464,2
09AR20080322,       TEST,       2,          1,         19,         19,2,20080325,       0000,   -54.4012,   143.8132,       2772,    89.3,   4.4294,  33.7157,2,  33.7167,2,   336.63,2,  315.88,2,     2.2,2,    1.65,2,-999.0000,9,-999.0000,9,-999.0000,9,  2122.9,2,  2273.0,6,   2.530,2,  -999.0,9, -999.00,9,   24.68,2,      1.028,2
