EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,
09AR20011029, SR03, 1, 1, 23, 23, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.5,   5.0490,  34.4440, 3,  34.4450, 2,   -999.0, 5,    185.1, 2,    39.30, 2,    29.15, 2,    29.15,     1.88, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9670, 2
09AR20011029, SR03, 1, 1, 21, 21, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.5,   5.0540,  34.4440, 2,  34.4430, 2,   -999.0, 5,    184.7, 2,    39.00, 2,    29.09, 2,    29.09,     1.90, 2,    0.647, 4,    0.244, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9720, 2
09AR20011029, SR03, 1, 1, 20, 20, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.5,   5.0530,  34.4440, 2,  34.4420, 2,   -999.0, 5,    184.8, 2,    39.40, 2,    29.45, 2,    29.45,     1.91, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9710, 2
09AR20011029, SR03, 2, 1, 24, 24, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,      6.5,  13.1870,  35.2460, 3, -999.0000, 9,    273.2, 3,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.217, 3,    1.848, 3, -999.000, 5,   2072.5, 6,   2318.4, 2,  13.1890, 9
09AR20011029, SR03, 2, 1, 22, 22, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,      6.6,  13.2080,  35.2450, 2,  35.2470, 2,    273.2, 3,    273.8, 2,     1.70, 2,     3.34, 2,     3.34,     0.27, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  13.2100, 2
09AR20011029, SR03, 2, 1, 23, 23, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,      6.7,  13.2110,  35.2460, 2, -999.0000, 9,    273.2, 3,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.217, 3,    1.838, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,  13.2130, 9
09AR20011029, SR03, 2, 1, 21, 21, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,     26.2,  12.6420,  35.2370, 2, -999.0000, 9,    263.4, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   2085.4, 2,   2319.6, 2,  12.6420, 9
09AR20011029, SR03, 2, 1, 20, 20, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,     26.3,  12.6610,  35.2360, 4,  35.2390, 2,    263.4, 2,    262.6, 2,     1.80, 2,     4.69, 2,     4.69,     0.37, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.6600, 2
09AR20011029, SR03, 2, 1, 19, 19, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,     50.6,  12.5700,  35.2380, 2, -999.0000, 9,    253.6, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9,    3.327, 3,    1.876, 3,    0.700, 4,   2090.0, 2,   2317.0, 2,  12.5660, 9
09AR20011029, SR03, 2, 1, 18, 718, 2, 20011030, 0400, -44.0055, 146.3420, 302,  -999.00,     50.7,  12.5690,  35.2380, 2,  35.2390, 2,    253.6, 2,    257.4, 2,     1.80, 2,     5.42, 2,     5.42,     0.40, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  12.5650, 2
