BOTTLE,20141024CCHSIOCBG
# Original header:
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W
# 20090522OOCNOCBAK
# There are 12 instances of the bottle quality flag being set to 10. These correspond to cases where there was something anomalous about the bottle closure. The samples are believed to be good. In 9 of these cases the shallowest bottle was at 5 metres depth andappeared to have closed normally. The CFC sampler reported that a dribble leaked out of the bottom tap when it was pushed in even though the top vent was still closed. 
# The CTD PRS;  TMP;  SAL;  OXY; data are all calibrated and good .
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,UMOL/KG,
740H20090307,       A095,       5,          1,          3,          3,2,20090308,       2107,  -36.66486,  -53.06175,       2067,  1766.0,   3.6278,  34.8219,  34.8221,2,    206.1,   207.5,2,   35.70,2,    1.81,2,  2195.8,2,  2316.8,2,   3.4882,   25.90,2
740H20090307,       A095,       5,          1,          5,          5,2,20090308,       2107,  -36.66486,  -53.06175,       2067,  1512.5,   3.0854,  34.5122,  34.5138,2,    183.7,   185.1,2,   53.28,2,    2.32,2,  2217.2,2,  2327.7,3,   2.9757,   32.71,2
740H20090307,       A095,       5,          1,          6,          6,2,20090308,       2107,  -36.66486,  -53.06175,       2067,  1260.3,   3.3527,  34.3231,  34.3250,2,    203.2,   204.9,2,   41.09,2,    2.29,2,  2201.1,2,  2307.5,2,   3.2616,   32.49,2
740H20090307,       A095,       5,          1,          8,          8,2,20090308,       2107,  -36.66486,  -53.06175,       2067,  1005.8,   3.8538,  34.2995,  34.2992,2,    213.5,   217.5,2,   31.45,2,    2.19,2,  2185.6,2,  2297.3,2,   3.7792,   31.09,2
740H20090307,       A095,       5,          1,          9,          9,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   879.2,   4.4383,  34.2729,  34.2728,2,    225.4,   237.5,2,   22.61,2,    2.05,2,  2170.1,2,  2293.5,2,   4.3700,   28.90,2
740H20090307,       A095,       5,          1,         11,         11,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   753.7,   5.1647,  34.2769,  34.2772,2,    234.0,   235.2,2,   15.85,2,    1.89,2,  2154.4,2,  2291.4,2,   5.1026,   26.87,2
740H20090307,       A095,       5,          1,         12,         12,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   627.6,   6.7198,  34.4369,  34.4381,2,    212.4,   216.3,2,   13.66,2,    1.77,2,  2154.6,2,  2294.9,2,   6.6610,   24.87,2
740H20090307,       A095,       5,          1,         14,         14,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   501.1,   9.2833,  34.6999,  34.7030,2,    203.2,   204.5,2,    8.38,2,    1.40,2,  2140.4,2,  2294.3,2,   9.2271,   19.34,2
740H20090307,       A095,       5,          1,         15,         15,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   374.4,  12.9783,  35.2525,  35.2560,2,    204.5,   207.7,2,    4.38,2,    0.84,2,  2116.8,2,  2320.6,2,  12.9264,   10.11,2
740H20090307,       A095,       5,          1,         17,         17,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   249.9,  15.2324,  35.6421,  35.6409,2,    209.0,   213.7,2,    3.06,2,    0.53,2,  2104.9,2,    2347,2,  15.1939,    5.48,2
740H20090307,       A095,       5,          1,         18,         18,2,20090308,       2107,  -36.66486,  -53.06175,       2067,   174.9,  16.5094,  35.8429,  35.8384,2,    205.3,   209.1,2,    2.63,2,    0.40,2,    2099,2,  2357.3,2,  16.4809,    3.44,2
740H20090307,       A095,       5,          1,         20,         20,2,20090308,       2107,  -36.66486,  -53.06175,       2067,    99.2,  18.6509,  36.1247,  36.1266,2,    214.7,   212.8,2,    2.06,2,    0.24,2,    2087,2,  2375.2,2,  18.6334,    0.56,2
740H20090307,       A095,       5,          1,         21,         21,2,20090308,       2107,  -36.66486,  -53.06175,       2067,    73.8,  19.9004,  36.2811,  36.2761,2,    226.9,   221.8,2,    1.89,2,    0.12,2,  2079.3,2,    2387,2,  19.8867,    0.00,2
740H20090307,       A095,       5,          1,         22,         22,2,20090308,       2107,  -36.66486,  -53.06175,       2067,    49.2,  23.5238,  36.3679,  36.3519,2,    213.4,   217.1,2,    1.91,2,    0.05,2,  2062.1,2,  2389.8,2,  23.5136,    0.00,2
740H20090307,       A095,       5,          1,         23,         23,2,20090308,       2107,  -36.66486,  -53.06175,       2067,    23.4,  24.1542,  36.5012,  36.4947,2,    208.6,   223.7,2,    1.92,2,    0.06,2,  2060.6,2,  2396.7,2,  24.1492,    0.00,2
740H20090307,       A095,       5,          1,         24,         24,2,20090308,       2107,  -36.66486,  -53.06175,       2067,     3.8,  24.5905,  36.3461,  36.3468,2,    205.8,   206.2,2,    2.06,2,    0.09,2,  2053.2,2,  2389.2,2,  24.5897,    0.00,2
740H20090307,       A095,       6,          1,          1,          1,2,20090309,       0109,  -36.70881,  -52.98910,       2596,  2578.0,   2.1475,  34.8259,  34.8268,2,    218.1,   220.4,2,   67.91,2,    1.84,2,  2213.2,2,  2346.9,2,   1.9565,   26.33,2
