EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  18HU20070510, AR07W,     9,  1, 309449,     11,2,20070511,1558, 52.2795, -52.5585,  340,      9.5,   0.5498,  33.3648,2,-999.0000,9,    380.5,2,    415.3,2,     0.88,6,     0.00,6,     0.19,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309450,     12,2,20070511,1558, 52.2795, -52.5585,  340,      0.7,   0.7228,  33.3595,2,-999.0000,9,    384.9,2,    415.5,2,     0.78,6,     0.00,6,     0.18,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309451,     13,2,20070511,1558, 52.2795, -52.5585,  340,      1.0,   0.7056,  33.3586,2,-999.0000,9,    385.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309452,     14,2,20070511,1558, 52.2795, -52.5585,  340,      0.6,   0.7086,  33.3593,2,-999.0000,9,    386.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,     9,  1, 309453,     15,2,20070511,1558, 52.2795, -52.5585,  340,      0.5,   0.7157,  33.3607,2,-999.0000,9,    386.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309454,      1,2,20070512,0827, 55.1038, -54.1247, 1047,    918.6,   3.7347,  34.8566,2,  34.8625,2,    276.4,2,    297.3,2,     8.15,6,    15.23,6,     0.92,6,    0.191,4, -999.000,9,    0.000,4,    0.102,4,    0.035,4,   2155.3,2,   2308.7,6
  18HU20070510, AR07W,    13,  1, 309455,      2,2,20070512,0827, 55.1038, -54.1247, 1047,    860.1,   3.7280,  34.8579,2,  34.8609,6,    269.8,2,    294.3,2,     8.13,6,    15.18,6,     0.92,6,    3.233,4,    1.914,2,    0.221,2,    3.268,4,    1.774,2,   2154.8,6,   2301.5,2
  18HU20070510, AR07W,    13,  1, 309456,      3,2,20070512,0827, 55.1038, -54.1247, 1047,    790.5,   3.7242,  34.8562,2,  34.8617,2,    269.5,2,    200.0,4,     8.02,6,    15.19,6,     0.91,6,    4.877,2,    2.736,2,    0.298,2,    5.467,4,    3.456,2,   2153.6,2,   2308.9,2
  18HU20070510, AR07W,    13,  1, 309457,      4,2,20070512,0827, 55.1038, -54.1247, 1047,    701.2,   3.7610,  34.8548,2,-999.0000,9,    268.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309458,      5,2,20070512,0827, 55.1038, -54.1247, 1047,    589.4,   3.8140,  34.8516,2,-999.0000,9,    267.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309459,      6,2,20070512,0827, 55.1038, -54.1247, 1047,    471.6,   3.8092,  34.8380,2,  34.8416,2,    267.4,2,    294.4,6,     7.60,6,    14.87,6,     0.91,6,    4.778,2,    2.705,2,    0.308,2,    5.306,4,    2.971,2,   2153.0,2,   2308.5,2
  18HU20070510, AR07W,    13,  1, 309460,      7,2,20070512,0827, 55.1038, -54.1247, 1047,    359.2,   3.6325,  34.7869,2,  34.7901,2,    270.1,2,   -999.0,9,     7.58,6,    14.51,6,     0.90,6,    0.235,4,    0.016,4,    0.000,4,    0.142,4,    0.000,4,   2149.9,2,   2307.6,2
  18HU20070510, AR07W,    13,  1, 309461,      8,2,20070512,0827, 55.1038, -54.1247, 1047,    261.2,   2.9468,  34.5967,2,  34.5961,2,    274.3,2,    303.6,3,     8.06,2,    13.69,6,     0.90,6,    5.072,2,    2.868,2,    0.424,2,    5.709,4,    2.810,2,   2147.8,2,   2291.8,2
  18HU20070510, AR07W,    13,  1, 309462,      9,2,20070512,0827, 55.1038, -54.1247, 1047,    172.1,   1.3085,  34.1675,2,-999.0000,9,    283.1,2,    312.3,3,     7.97,6,    12.10,6,     0.86,6,    5.672,2,    3.234,2,    0.363,2,    6.473,4,    3.326,2,   2134.3,2,   2264.0,2
  18HU20070510, AR07W,    13,  1, 309463,     10,2,20070512,0827, 55.1038, -54.1247, 1047,    100.0,  -0.0306,  33.7245,2,  33.7243,2,    296.3,2,    327.6,3,     7.91,2,    10.34,6,     0.79,6,    0.226,4,    0.004,4,    0.000,4,    0.135,4,    0.015,4,   2127.3,2,   2248.8,2
  18HU20070510, AR07W,    13,  1, 309464,     11,2,20070512,0827, 55.1038, -54.1247, 1047,     82.2,  -0.7640,  33.6164,2,-999.0000,9,    290.7,2,   -999.0,9,     8.67,6,    10.35,6,     0.81,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309465,     12,2,20070512,0827, 55.1038, -54.1247, 1047,     59.3,  -1.2767,  33.4528,2,-999.0000,9,    293.9,2,   -999.0,9,     8.66,6,     9.74,6,     0.81,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309466,     13,2,20070512,0827, 55.1038, -54.1247, 1047,     49.9,  -1.3776,  33.4071,2,  33.4016,2,    294.9,2,    325.6,3,     8.47,6,     9.56,6,     0.80,6,    6.402,2,    3.487,2,    0.465,2,    7.076,4,    4.487,2,   2120.6,2,   2234.3,2
  18HU20070510, AR07W,    13,  1, 309467,     14,2,20070512,0827, 55.1038, -54.1247, 1047,     40.4,  -1.4439,  33.3677,2,-999.0000,9,    295.5,2,    325.4,3,     8.60,6,     9.39,6,     0.81,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309468,     15,2,20070512,0827, 55.1038, -54.1247, 1047,     30.6,  -1.4502,  33.2917,2,-999.0000,9,    296.8,2,    328.1,3,     8.47,6,     9.15,6,     0.81,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309469,     16,2,20070512,0827, 55.1038, -54.1247, 1047,     21.4,  -1.4078,  33.0160,2,-999.0000,9,    306.4,2,    330.9,2,     8.53,6,     8.07,6,     0.85,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309470,     17,2,20070512,0827, 55.1038, -54.1247, 1047,     10.7,  -1.3740,  32.9296,2,  32.9268,2,    314.6,2,    302.3,3,     8.47,6,     7.81,6,     0.80,6,    7.033,2,    3.913,2,    0.537,2,    8.231,4,    3.901,2,   2107.5,2,   2227.2,2
  18HU20070510, AR07W,    13,  1, 309471,     18,2,20070512,0827, 55.1038, -54.1247, 1047,      0.6,  -1.3712,  32.9273,2,-999.0000,9,    315.3,2,    347.3,2,     8.46,6,     7.89,6,     0.81,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309472,     19,2,20070512,0827, 55.1038, -54.1247, 1047,      1.0,  -1.3718,  32.9274,2,-999.0000,9,    315.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309473,     20,2,20070512,0827, 55.1038, -54.1247, 1047,      1.3,  -1.3747,  32.9304,2,-999.0000,9,    315.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309474,     21,2,20070512,0827, 55.1038, -54.1247, 1047,      2.1,  -1.3751,  32.9161,2,-999.0000,9,    315.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309475,     22,2,20070512,0827, 55.1038, -54.1247, 1047,      2.1,  -1.3750,  32.9278,2,-999.0000,9,    315.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
  18HU20070510, AR07W,    13,  1, 309476,     23,2,20070512,0827, 55.1038, -54.1247, 1047,      1.2,  -1.3761,  32.9304,2,-999.0000,9,    315.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9
