EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,,,DEG C,DEG C
29AH20120622,      OVIDE,       1,          1,         23,2,20120623,       0000,    40.3326,    -9.4594,        155,     4.1,  18.4131,  35.6093,2,-999.0000,9,    243.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9938,2,    25.00,  18.4124
29AH20120622,      OVIDE,       1,          1,         24,2,20120623,       0000,    40.3326,    -9.4594,        155,     4.1,  18.4046,  35.6087,2,-999.0000,9,    243.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.9990,2,    25.00,  18.4039
29AH20120622,      OVIDE,       2,          1,          1,2,20120623,       0000,    40.3332,    -9.6369,        389,   372.0,  11.7874,  35.7385,2,  35.7411,2,    198.4,2,  -999.0,9,    5.78,2,   13.58,2,    0.66,2,   2.469,2,   1.425,2,  -999.0,9,   7.8076,2,    25.00,  11.7387
29AH20120622,      OVIDE,       2,          1,          2,2,20120623,       0000,    40.3332,    -9.6369,        389,   372.0,  11.7884,  35.7386,2,  35.7412,2,    198.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.7397
29AH20120622,      OVIDE,       2,          1,          3,2,20120623,       0000,    40.3332,    -9.6369,        389,   372.0,  11.7922,  35.7391,2,-999.0000,9,    198.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.7435
29AH20120622,      OVIDE,       2,          1,          4,2,20120623,       0000,    40.3332,    -9.6369,        389,   295.8,  12.0608,  35.7359,2,  35.7377,2,    203.5,2,   205.5,2,    4.74,2,   12.30,2,    0.63,2,-999.000,9,-999.000,9,  -999.0,9,   7.8132,2,    25.00,  12.0216
29AH20120622,      OVIDE,       2,          1,          5,2,20120623,       0000,    40.3332,    -9.6369,        389,   295.8,  12.0622,  35.7360,2,-999.0000,9,    203.5,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  12.0230
29AH20120622,      OVIDE,       2,          1,          6,2,20120623,       0000,    40.3332,    -9.6369,        389,   295.8,  12.0612,  35.7361,2,-999.0000,9,    203.5,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  12.0220
29AH20120622,      OVIDE,       2,          1,          7,2,20120623,       0000,    40.3332,    -9.6369,        389,   200.3,  12.7458,  35.8071,2,  35.8097,2,    213.3,2,   215.9,2,    3.23,2,    9.44,2,    0.48,2,-999.000,9,-999.000,9,  -999.0,9,   7.8428,2,    25.00,  12.7184
29AH20120622,      OVIDE,       2,          1,          8,2,20120623,       0000,    40.3332,    -9.6369,        389,   200.3,  12.7475,  35.8075,2,-999.0000,9,    213.3,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,   2.601,2,   1.517,2,  -999.0,9,-999.0000,9,  -999.00,  12.7201
29AH20120622,      OVIDE,       2,          1,          9,2,20120623,       0000,    40.3332,    -9.6369,        389,   200.3,  12.7582,  35.8088,2,-999.0000,9,    213.3,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  12.7308
29AH20120622,      OVIDE,       2,          1,         10,2,20120623,       0000,    40.3332,    -9.6369,        389,   150.2,  13.3844,  35.9175,2,  35.9174,2,    210.4,2,   210.5,2,    3.18,2,    8.40,2,    0.45,2,-999.000,9,-999.000,9,  -999.0,9,   7.8461,2,    25.00,  13.3632
29AH20120622,      OVIDE,       2,          1,         11,2,20120623,       0000,    40.3332,    -9.6369,        389,   150.2,  13.3844,  35.9178,2,-999.0000,9,    210.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  13.3632
29AH20120622,      OVIDE,       2,          1,         12,2,20120623,       0000,    40.3332,    -9.6369,        389,   150.2,  13.3805,  35.9173,2,-999.0000,9,    210.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  13.3593
29AH20120622,      OVIDE,       2,          1,         13,2,20120623,       0000,    40.3332,    -9.6369,        389,   100.6,  13.7607,  35.9288,2,  35.9283,2,    222.8,2,   217.1,3,    2.04,2,    6.21,2,    0.31,2,-999.000,9,-999.000,9,  -999.0,9,   7.8677,2,    25.00,  13.7463
29AH20120622,      OVIDE,       2,          1,         14,2,20120623,       0000,    40.3332,    -9.6369,        389,   100.6,  13.7633,  35.9289,2,-999.0000,9,    222.8,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  13.7489
29AH20120622,      OVIDE,       2,          1,         15,2,20120623,       0000,    40.3332,    -9.6369,        389,   100.5,  13.7641,  35.9290,2,-999.0000,9,    222.9,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  13.7497
29AH20120622,      OVIDE,       2,          1,         16,2,20120623,       0000,    40.3332,    -9.6369,        389,    60.3,  15.1910,  36.0424,2,-999.0000,9,    253.5,2,   255.4,2,    0.78,2,    0.47,2,    0.05,2,-999.000,9,-999.000,9,  -999.0,9,   7.9524,2,    25.00,  15.1817
29AH20120622,      OVIDE,       2,          1,         17,2,20120623,       0000,    40.3332,    -9.6369,        389,    60.3,  15.1609,  36.0457,2,-999.0000,9,    253.5,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  15.1517
29AH20120622,      OVIDE,       2,          1,         18,2,20120623,       0000,    40.3332,    -9.6369,        389,    60.3,  15.1209,  36.0446,2,-999.0000,9,    253.5,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  15.1117
29AH20120622,      OVIDE,       2,          1,         19,2,20120623,       0000,    40.3332,    -9.6369,        389,     5.2,  18.4223,  35.7342,2,  35.7366,2,    242.2,2,   240.6,2,    0.79,3,    0.00,2,    0.02,2,   2.218,2,   1.362,2,  -999.0,9,   7.9975,2,    25.00,  18.4214
29AH20120622,      OVIDE,       2,          1,         20,2,20120623,       0000,    40.3332,    -9.6369,        389,     5.2,  18.4209,  35.7344,2,-999.0000,9,    242.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  18.4200
29AH20120622,      OVIDE,       3,          1,          1,2,20120623,       0000,    40.3344,    -9.7678,        822,   810.6,  11.6260,  36.1565,2,  36.1594,2,    179.3,2,   180.7,2,    7.34,2,   14.19,2,    0.73,2,-999.000,9,-999.000,9,  2382.2,2,   7.8081,2,    25.00,  11.5184
29AH20120622,      OVIDE,       3,          1,          2,2,20120623,       0000,    40.3344,    -9.7678,        822,   810.5,  11.6266,  36.1566,2,-999.0000,9,    179.3,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.5190
29AH20120622,      OVIDE,       3,          1,          3,2,20120623,       0000,    40.3344,    -9.7678,        822,   700.9,  11.6722,  36.0822,2,  36.0841,2,    179.5,2,   180.7,2,    7.33,2,   14.87,2,    0.79,2,-999.000,9,-999.000,9,  2376.7,2,   7.8055,2,    25.00,  11.5794
29AH20120622,      OVIDE,       3,          1,          4,2,20120623,       0000,    40.3344,    -9.7678,        822,   700.8,  11.6828,  36.0799,2,-999.0000,9,    179.5,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.5900
29AH20120622,      OVIDE,       3,          1,          5,2,20120623,       0000,    40.3344,    -9.7678,        822,   601.2,  11.6501,  35.9329,2,  35.9353,2,    181.0,2,   181.9,2,    7.18,2,   15.07,2,    0.81,2,-999.000,9,-999.000,9,  2363.5,2,   7.7991,2,    25.00,  11.5711
29AH20120622,      OVIDE,       3,          1,          6,2,20120623,       0000,    40.3344,    -9.7678,        822,   601.3,  11.6502,  35.9329,2,-999.0000,9,    181.0,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.5712
29AH20120622,      OVIDE,       3,          1,          7,2,20120623,       0000,    40.3344,    -9.7678,        822,   500.4,  11.6059,  35.7767,2,  35.7788,2,    189.1,2,   187.9,2,    6.37,2,   14.77,2,    0.78,2,-999.000,9,-999.000,9,  2348.8,2,   7.7957,2,    25.00,  11.5407
29AH20120622,      OVIDE,       3,          1,          8,2,20120623,       0000,    40.3344,    -9.7678,        822,   500.4,  11.6044,  35.7765,2,-999.0000,9,    189.1,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.5392
29AH20120622,      OVIDE,       3,          1,          9,2,20120623,       0000,    40.3344,    -9.7678,        822,   400.8,  11.6280,  35.6683,2,  35.6714,2,    210.4,2,   213.0,2,    4.74,2,   12.68,2,    0.66,2,-999.000,9,-999.000,9,  2340.1,2,   7.8113,2,    25.00,  11.5760
29AH20120622,      OVIDE,       3,          1,         10,2,20120623,       0000,    40.3344,    -9.7678,        822,   400.9,  11.6279,  35.6683,2,-999.0000,9,    210.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.5758
29AH20120622,      OVIDE,       3,          1,         11,2,20120623,       0000,    40.3344,    -9.7678,        822,   302.5,  12.1815,  35.7192,2,  35.7228,2,    214.1,2,   216.4,2,    3.75,2,   11.09,2,    0.57,2,-999.000,9,-999.000,9,  2344.2,2,   7.8286,2,    25.00,  12.1412
29AH20120622,      OVIDE,       3,          1,         12,2,20120623,       0000,    40.3344,    -9.7678,        822,   302.5,  12.1836,  35.7197,2,-999.0000,9,    214.1,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  12.1433
29AH20120622,      OVIDE,       3,          1,         13,2,20120623,       0000,    40.3344,    -9.7678,        822,   201.3,  12.8291,  35.8128,2,  35.8138,2,    227.2,2,   226.9,2,    2.69,2,    8.46,2,    0.40,2,-999.000,9,-999.000,9,  2348.1,2,   7.8601,2,    25.00,  12.8014
29AH20120622,      OVIDE,       3,          1,         14,2,20120623,       0000,    40.3344,    -9.7678,        822,   201.4,  12.8293,  35.8128,2,-999.0000,9,    227.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  12.8016
29AH20120622,      OVIDE,       3,          1,         15,2,20120623,       0000,    40.3344,    -9.7678,        822,   149.7,  13.2341,  35.8802,2,  35.8816,2,    232.1,2,   232.5,2,    2.21,2,    6.79,2,    0.30,2,-999.000,9,-999.000,9,  2352.2,2,   7.8772,2,    25.00,  13.2131
29AH20120622,      OVIDE,       3,          1,         16,2,20120623,       0000,    40.3344,    -9.7678,        822,   149.9,  13.2359,  35.8804,2,-999.0000,9,    232.0,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  13.2149
29AH20120622,      OVIDE,       3,          1,         17,2,20120623,       0000,    40.3344,    -9.7678,        822,    98.1,  13.8177,  35.9673,2,  35.9687,2,    234.8,2,   236.7,2,    1.65,2,    4.74,2,    0.20,2,-999.000,9,-999.000,9,  2360.6,2,   7.8997,2,    25.00,  13.8036
29AH20120622,      OVIDE,       3,          1,         18,2,20120623,       0000,    40.3344,    -9.7678,        822,    98.2,  13.8186,  35.9673,2,-999.0000,9,    234.8,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  13.8045
29AH20120622,      OVIDE,       3,          1,         19,2,20120623,       0000,    40.3344,    -9.7678,        822,    57.2,  15.1327,  36.0007,2,-999.0000,9,    252.2,2,   261.1,3, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  15.1239
29AH20120622,      OVIDE,       3,          1,         20,2,20120623,       0000,    40.3344,    -9.7678,        822,    57.2,  15.1300,  36.0015,2,  36.0070,4,    252.2,2,   262.2,3,    0.83,3,    0.14,2,    0.00,2,-999.000,9,-999.000,9,  2364.6,2,   7.9560,2,    25.00,  15.1213
29AH20120622,      OVIDE,       3,          1,         21,2,20120623,       0000,    40.3344,    -9.7678,        822,     4.9,  18.3086,  35.8961,2,-999.0000,9,    240.6,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  18.3077
29AH20120622,      OVIDE,       3,          1,         22,2,20120623,       0000,    40.3344,    -9.7678,        822,     5.0,  18.3083,  35.8961,2,-999.0000,9,    240.6,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  18.3074
29AH20120622,      OVIDE,       3,          1,         23,2,20120623,       0000,    40.3344,    -9.7678,        822,     4.9,  18.3081,  35.8957,2,  35.8999,4,    240.6,2,   240.5,2,    0.88,3,    0.00,2,    0.00,2,-999.000,9,-999.000,9,  2360.0,2,   7.9970,2,    25.00,  18.3072
29AH20120622,      OVIDE,       3,          1,         24,2,20120623,       0000,    40.3344,    -9.7678,        822,     4.9,  18.3086,  35.8955,2,-999.0000,9,    240.6,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  18.3077
29AH20120622,      OVIDE,       4,          1,          1,2,20120623,       0000,    40.3336,    -9.8020,       1340,  1330.7,  10.2837,  36.1392,2,  36.0927,4,    186.8,2,   190.7,2,    9.42,3,   14.07,2,    0.81,2,   1.776,2,   1.004,2,  -999.0,9,   7.8160,2,    25.00,  10.1158
29AH20120622,      OVIDE,       4,          1,          2,2,20120623,       0000,    40.3336,    -9.8020,       1340,  1330.7,  10.2839,  36.1393,2,-999.0000,9,    186.8,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  10.1160
29AH20120622,      OVIDE,       4,          1,          3,2,20120623,       0000,    40.3336,    -9.8020,       1340,  1200.5,  10.6945,  36.2005,2,  36.2010,2,    182.4,2,   183.3,2,   11.24,2,   15.61,2,    0.85,2,-999.000,9,-999.000,9,  -999.0,9,   7.8020,2,    25.00,  10.5403
29AH20120622,      OVIDE,       4,          1,          4,2,20120623,       0000,    40.3336,    -9.8020,       1340,  1200.5,  10.6947,  36.2003,2,-999.0000,9,    182.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  10.5405
29AH20120622,      OVIDE,       4,          1,          5,2,20120623,       0000,    40.3336,    -9.8020,       1340,  1000.4,  11.3257,  36.1900,2,  36.1920,2,    178.4,2,   179.3,2,   10.53,2,   14.34,3,    0.76,2,   1.677,2,   0.923,2,  -999.0,9,   7.8040,2,    25.00,  11.1940
29AH20120622,      OVIDE,       4,          1,          6,2,20120623,       0000,    40.3336,    -9.8020,       1340,  1000.4,  11.3260,  36.1900,2,-999.0000,9,    178.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.1943
29AH20120622,      OVIDE,       4,          1,          7,2,20120623,       0000,    40.3336,    -9.8020,       1340,   900.7,  11.4776,  36.1648,2,  36.1677,2,    178.5,2,   179.2,2,   10.14,2,   14.46,3,    0.74,2,-999.000,9,-999.000,9,  -999.0,9,   7.8052,2,    25.00,  11.3586
29AH20120622,      OVIDE,       4,          1,          8,2,20120623,       0000,    40.3336,    -9.8020,       1340,   799.2,  11.5668,  36.1202,2,  36.1227,2,    178.5,2,   179.1,2,    9.66,2,   14.34,2,    0.77,2,-999.000,9,-999.000,9,  -999.0,9,   7.8055,2,    25.00,  11.4612
29AH20120622,      OVIDE,       4,          1,          9,2,20120623,       0000,    40.3336,    -9.8020,       1340,   799.2,  11.5665,  36.1203,2,-999.0000,9,    178.5,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,-999.0000,9,  -999.00,  11.4609
