EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,C13ERR,THETA,SIG0,SBE35,SBE35_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,TOC,TOC_FLAG_W,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,TU,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3,ITS-90,,DBAR,,UMOL/KG,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,,,BQ/M^3,,BQ/M^3,MBQ/M^3,,MBQ/M^3
49NZ20031106, A10, 622, 1, 7, 12019, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6001, 2,  36.0866, 2, -999.0000, 9,    181.6, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.5821, 25.9583,  18.5998, 2, 104.5, 2, 190.84, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 6, 12018, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6043, 2,  36.0871, 2, -999.0000, 9,    181.3, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.5863, 25.9589,  18.5993, 2, 104.4, 2, 190.82, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 3, 12012, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6555, 2,  36.0944, 2, -999.0000, 9,    181.4, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6374, 25.9507,  18.6515, 2, 104, 2, 190.72, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 1, 12013, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.1, 2,  18.6767, 2,  36.0975, 2, -999.0000, 9,    181.0, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6586, 25.9478,  18.6743, 2, 103.7, 2, 190.71, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 24, 12036, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.2, 2,  18.6781, 2,  36.0946, 2, -999.0000, 9,    179.7, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6600, 25.9448,  18.6820, 2, 103.3, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 21, 12033, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.2, 2,  18.6736, 2,  36.0944, 2, -999.0000, 9,    180.1, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6555, 25.9462,  18.6829, 2, 103.5, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 13, 12025, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.2, 2,  18.6261, 2,  36.0899, 2, -999.0000, 9,    181.1, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6080, 25.9545,  18.6286, 2, 104.3, 2, 190.78, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 5, 12017, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.2, 2,  18.5948, 2,  36.0865, 2, -999.0000, 9,    181.6, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.5768, 25.9594,  18.5961, 2, 104.6, 2, 190.87, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 4, 12016, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.2, 2,  18.6027, 2,  36.0877, 2, -999.0000, 9,    181.5, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.5847, 25.9559,  18.6131, 2, 104.5, 2, 190.85, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 2, 12014, 9, 20031107, 1102, -27.7318, -47.3898, 181,    102.2, 2,  18.6602, 2,  36.0946, 2, -999.0000, 9,    181.3, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6421, 25.9508,  18.6575, 2, 104, 2, 190.71, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
