BOTTLE,20131114PRINUNIVRMK
# 11/12/13 Initialized README file 					 
# Data source: A.Rios, revised 11/14/2013				 
# SHIP: HESPERIDES					 
# Cruise: FICARAM_XV					 
# Region: Atlantic Ocean; A17 extended north to Gibralter 
# EXPOCODE: 29HE20130320					 
# DATES: 3/20 - 5/22/2013 					 
# Chief Scientist: A.F. Rios					 
# 108 stations with 24 place Rosette 
# Hydro: Who - Fiz F. Perez/Jose Luis Pelegri; Status - final 
# 	Notes:	CTDSAL only			 
# Nuts: Mercedes de la Paz/ Fernando Alonso/Elena Royo; Status - final	 
# 	Notes: 				 
# O2: Who - Anton Velo/Maribel Garcia-Ibañez; Status - final			 
# 	Notes: 				 
# TA: Who - Fiz F. Perez/A. Velo/Maribel Garcia-Ibañez  ; Status - final		 
# 	Notes: 				 
# pH: Who - Fiz F. Perez/Xose A. Padin/Maribel Garcia-Ibañez; Status - final 
# 	Notes: SWS @ 25C						 
# References:					 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  29HE20130320,     4,  1,      6,2,20130324,0613,-48.9060, -55.4340, 1220,    808.8,   3.5592,  34.2364,2,    230.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2302.7,2,-999.0000,9,  -999.00,   3.5023
  29HE20130320,     4,  1,      7,2,20130324,0613,-48.9060, -55.4340, 1220,    809.0,   3.5591,  34.2363,2,    230.0,2,    229.7,2,    32.32,2,    30.49,2,     2.04,2,   2302.7,2,   7.6160,2,    25.00,   3.5022
  29HE20130320,     4,  1,      8,2,20130324,0613,-48.9060, -55.4340, 1220,    707.0,   3.7018,  34.1989,2,    244.2,2,    243.8,2,    27.30,2,    29.24,2,     1.96,2,   2300.2,2,   7.6333,2,    25.00,   3.6519
  29HE20130320,     4,  1,      9,2,20130324,0613,-48.9060, -55.4340, 1220,    603.9,   3.7797,  34.1804,2,    251.5,2,    250.8,2,    24.67,2,    28.78,2,     1.91,2,   2297.9,2,   7.6471,2,    25.00,   3.7372
  29HE20130320,     4,  1,     10,2,20130324,0613,-48.9060, -55.4340, 1220,    603.5,   3.7794,  34.1805,2,    251.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2297.9,2,-999.0000,9,  -999.00,   3.7369
  29HE20130320,     4,  1,     11,2,20130324,0613,-48.9060, -55.4340, 1220,    505.0,   3.8875,  34.1601,2,    261.1,2,    260.1,2,    21.05,2,    27.62,2,     1.81,2,   2291.6,2,   7.6564,2,    25.00,   3.8519
  29HE20130320,     4,  1,     12,2,20130324,0613,-48.9060, -55.4340, 1220,    402.2,   3.9658,  34.1459,2,    268.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2289.3,2,-999.0000,9,  -999.00,   3.9375
  29HE20130320,     4,  1,     13,2,20130324,0613,-48.9060, -55.4340, 1220,    402.3,   3.9675,  34.1457,2,    268.1,2,    269.5,2,    18.68,2,    26.95,2,     1.77,2,   2289.3,2,   7.6685,2,    25.00,   3.9392
  29HE20130320,     4,  1,     14,2,20130324,0613,-48.9060, -55.4340, 1220,    300.5,   4.1288,  34.1272,2,    279.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,   2285.2,2,-999.0000,9,  -999.00,   4.1075
  29HE20130320,     4,  1,     15,2,20130324,0613,-48.9060, -55.4340, 1220,    302.2,   4.1206,  34.1277,2,    279.8,2,    278.9,2,    14.93,2,    26.05,2,     1.70,2,   2285.2,2,   7.6857,2,    25.00,   4.0992
