EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,DEG C
  318M20130321,   P02,     2,  1,     11,     11,2,20130323,0011, 32.4468, 133.1832,  877,    230.5,  12.1806,  34.4196,2,  34.4166,2,    155.3,2,    156.9,2,    28.70,2,    17.14,2,     0.03,2,     1.24,2,    2.678,2,    1.269,2,    0.040,2,      0.9,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  12.1504
  318M20130321,   P02,     2,  1,     10,     10,2,20130323,0011, 32.4468, 133.1832,  877,    255.9,  11.3300,  34.3721,2,  34.3708,2,    154.0,2,    154.6,2,    31.24,2,    18.64,2,     0.01,2,     1.34,2,    2.862,4,    1.243,2,    0.055,2,     0.84,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,  11.2980
  318M20130321,   P02,     2,  1,      9,      9,2,20130323,0011, 32.4468, 133.1832,  877,    307.0,   9.9654,  34.3331,2,  34.3308,2,    138.6,2,    138.4,2,    42.76,2,    22.42,2,     0.02,2,     1.61,2,    2.133,2,    1.107,2,    0.054,2,     0.74,2,   2175.7,2,   2290.7,2,   7.6592,2,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   9.9299
  318M20130321,   P02,     2,  1,      8,      8,2,20130323,0011, 32.4468, 133.1832,  877,    358.1,   9.5378,  34.3182,2,  34.3174,2,    132.1,2,    134.9,2,    45.89,2,    23.39,2,     0.03,2,     1.70,2,    2.511,4,    1.057,2,    0.047,2,     0.69,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   9.4975
  318M20130321,   P02,     2,  1,      7,      7,2,20130323,0011, 32.4468, 133.1832,  877,    408.1,   8.4835,  34.2903,2,  34.2911,2,    123.2,2,    123.7,2,    54.87,2,    26.18,2,     0.03,2,     2.00,2,    1.842,2,    0.925,2,    0.041,2,     0.63,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   8.4406
  318M20130321,   P02,     2,  1,      6,      6,2,20130323,0011, 32.4468, 133.1832,  877,    458.4,   7.9537,  34.2748,2,  34.2766,2,    118.0,2,    118.5,2,    59.46,2,    27.53,2,     0.01,2,     2.05,2,    1.752,2,    0.878,2,    0.031,2,     0.59,2,   2218.2,2,   2302.8,2,   7.5731,2,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   7.9072
  318M20130321,   P02,     2,  1,      5,      5,2,20130323,0011, 32.4468, 133.1832,  877,    510.2,   7.0067,  34.2655,2,  34.2677,2,    107.4,2,    106.6,2,    69.22,2,    30.25,2,     0.00,2,     2.23,2,    1.500,2,    0.726,2,    0.005,2,     0.46,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   6.9584
  318M20130321,   P02,     2,  1,      4,      4,2,20130323,0011, 32.4468, 133.1832,  877,    611.8,   5.4379,  34.2706,2,  34.2728,2,     84.5,2,     83.4,2,    88.46,2,    34.90,2,     0.00,2,     2.58,2,    1.025,2,    0.465,2,    0.026,2,     0.26,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   5.3868
  318M20130321,   P02,     2,  1,      3,      3,2,20130323,0011, 32.4468, 133.1832,  877,    713.2,   4.7629,  34.3112,2,  34.3128,2,     75.1,2,     75.4,2,   101.25,2,    36.80,2,     0.00,2,     2.69,2,    0.723,2,    0.326,2,    0.029,2,     0.24,2,   2303.1,2,   2342.2,6,   7.4266,2,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   4.7065
  318M20130321,   P02,     2,  1,      2,      2,2,20130323,0011, 32.4468, 133.1832,  877,    814.6,   4.0314,  34.3683,2,  34.3695,2,     67.2,2,     67.5,2,   114.91,2,    38.41,2,     0.00,2,     2.79,2,    0.421,2,    0.199,2,    0.021,2,     0.22,2,   2325.8,2,   2360.2,2,   7.4107,6,    25.00,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   3.9709
