EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/CUM
    49NZ20050525,  P10N,   143,  1,      8, X12020,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,      7, X12019,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,      6, X12018,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,      5, X12051,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,      4, X12016,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,      3, X12015,9,20050526,2315, 42.2532, 143.7380,  472,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   143,  1,      2, X12014,9,20050526,2315, 42.2532, 143.7380,  472,    467.2,2,   2.4705,2,   2.47005,2,  33.6283,2,-999.0000,9,   156.21,1,    467.4,2,   158.00,2,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.4435,  26.8376
    49NZ20050525,  P10N,   143,  1,      1, X12013,2,20050526,2315, 42.2532, 143.7380,  472,    467.3,2,   2.4697,2,   2.46970,2,  33.6283,2,  33.6229,6,   156.99,1,    467.4,2,   157.96,2,   160.19,2,    81.99,2,     0.30,    35.12,2,     0.13,     0.04,2,     0.01,    2.670,2,    0.016,    3.667,2,    1.773,2,    0.296,4,   2257.5,2,   2285.3,2,   7.4331,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   2.4427,  26.8377
    49NZ20050525,  P10N,   142,  2,      0,   -999,9,20050527,0316, 42.1657, 143.8093,  725,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,  32.8746,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.000,9, -999.000,   -999.0,9,   -999.0,-999.0000,-999.0000
    49NZ20050525,  P10N,   142,  2,     36, X12048,2,20050527,0316, 42.1657, 143.8093,  725,      9.4,2,   3.3150,2,   3.32667,2,  32.8802,2,  32.8844,2,   433.46,1,      2.8,2,   411.34,2,   415.20,6,     6.90,2,     0.13,     5.49,2,     0.05,     0.14,2,     0.01,    0.685,2,    0.013, -999.000,9, -999.000,9, -999.000,9,   2042.4,2,   2250.3,2,   7.9299,2, -999.000,9, -999.000,   -999.0,9,   -999.0,   3.3144,  26.1652
