EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,CHLORA,CHLORA_FLAG_W,HELIUM,HELIER,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,NEON,NEONE,NEON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/L,,NMOL/KG,NMOL/KG,,PERCNT,PERCNT,,NMOL/KG,NMOL/KG,,DEG C
  06MT20010717,   313,  1,     17,2,20010719,0000, 66.1320, -27.0820,  638,     12.1,   4.4508,  33.6008,2,    362.0,2,     0.16,2,     0.09,2,     0.04,2,     0.06,2,    5.791,2,    2.939,2,   2006.0,2,   2237.2,2,   7.9533,2,    25.00,     0.61,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   4.4500
  06MT20010717,   313,  1,     16,2,20010719,0000, 66.1320, -27.0820,  638,     50.1,   4.3187,  34.5789,2,    316.3,2,     2.81,2,     7.59,2,     0.12,2,     0.36,2, -999.000,9, -999.000,9,   2104.6,2,   2296.9,2,   7.8372,2,    25.00,     1.00,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   4.3151
  06MT20010717,   313,  1,     15,2,20010719,0000, 66.1320, -27.0820,  638,    100.8,   6.4556,  35.0684,2,    277.3,2,     7.17,2,    14.65,2,     0.01,2,     0.66,2,    3.834,2,    2.072,2,   2154.4,2,   2316.7,2,   7.7749,2,    25.00,     0.02,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   6.4466
  06MT20010717,   313,  1,     14,2,20010719,0000, 66.1320, -27.0820,  638,    100.8,   6.4516,  35.0686,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   6.4426
  06MT20010717,   313,  1,     13,2,20010719,0000, 66.1320, -27.0820,  638,    151.1,   5.9916,  35.0263,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   5.9786
  06MT20010717,   313,  1,     12,2,20010719,0000, 66.1320, -27.0820,  638,    151.2,   5.9506,  35.0154,2,    281.9,2,     7.01,2,    22.67,4,     0.04,2,     0.68,2, -999.000,9, -999.000,9,   2146.6,2,   2310.2,2,   7.7709,2,    25.00,     0.09,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   5.9377
  06MT20010717,   313,  1,     11,2,20010719,0000, 66.1320, -27.0820,  638,    201.4,   3.8208,  34.7887,2,    300.7,2,     6.00,2,    12.11,2,     0.08,2,     0.60,2,    4.970,2,    2.556,2,   2137.5,2,   2300.9,2,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   3.8070
  06MT20010717,   313,  1,     10,2,20010719,0000, 66.1320, -27.0820,  638,    251.9,   2.2159,  34.6232,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   2.2018
  06MT20010717,   313,  1,      9,2,20010719,0000, 66.1320, -27.0820,  638,    302.5,   2.4789,  34.7433,2,    307.8,2,     6.03,2,    12.31,2,     0.09,2,     0.61,2,    4.848,2,    2.473,2,   2150.7,2,   2294.6,2,   7.7552,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   2.4612
  06MT20010717,   313,  1,      8,2,20010719,0000, 66.1320, -27.0820,  638,    352.3,   1.1343,  34.8810,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    4.139,2,    2.106,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   1.1173
