EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,DEG C
58JH19990615, 75N, 463, 1, 8, 2, 19990618, 0, 68.4773, 13.8840, 188,     19.3,   8.5210,  33.6759, 2,  33.6470, 3,   -999.0, 9,     2.21, 2,     0.34, 2,     0.00, 2,     0.16, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.5190
58JH19990615, 75N, 463, 1, 7, 2, 19990618, 0, 68.4773, 13.8840, 188,     30.0,   8.4860,  33.6758, 2,  33.6430, 3,   -999.0, 9,     2.31, 2,     0.90, 2,     0.01, 2,     0.19, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.4829
58JH19990615, 75N, 463, 1, 6, 2, 19990618, 0, 68.4773, 13.8840, 188,     48.6,   6.4910,  33.7338, 2,  33.7270, 3,   -999.0, 9,     2.85, 2,     4.27, 2,     0.08, 2,     0.39, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.4868
58JH19990615, 75N, 463, 1, 5, 2, 19990618, 0, 68.4773, 13.8840, 188,     76.4,   6.0830,  33.9129, 2,  33.8930, 3,   -999.0, 9,     3.48, 2,     6.63, 2,     0.10, 2,     0.52, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.0766
58JH19990615, 75N, 463, 1, 4, 2, 19990618, 0, 68.4773, 13.8840, 188,     99.2,   6.0670,  34.0276, 2,  34.0670, 3,   -999.0, 9,     3.96, 2,     8.82, 2,     0.10, 2,     0.63, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.0586
58JH19990615, 75N, 463, 1, 3, 2, 19990618, 0, 68.4773, 13.8840, 188,    124.5,   6.5690,  34.5091, 2,  34.4890, 3,   -999.0, 9,     4.41, 2,    10.14, 2,     0.04, 2,     0.69, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.5579
58JH19990615, 75N, 463, 1, 2, 2, 19990618, 0, 68.4773, 13.8840, 188,    147.7,   6.8380,  34.7538, 2,  34.7500, 3,   -999.0, 9,     4.37, 2,    10.19, 2,     0.04, 2,     0.68, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   6.8244
58JH19990615, 75N, 463, 1, 1, 2, 19990618, 0, 68.4773, 13.8840, 188,    177.6,   6.8880, -999.0000, 9,  34.8330, 3,   -999.0, 9,     4.48, 2,    10.62, 2,     0.04, 2,     0.71, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
58JH19990615, 75N, 464, 1, 8, 2, 19990618, 0, 68.5140, 13.7732, 1961,      4.4,   8.4780, -999.0000, 9,  33.6940, 3,    303.2, 2,     2.23, 2,     0.13, 2,     0.00, 2,     0.14, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00, -999.0000
58JH19990615, 75N, 464, 1, 7, 2, 19990618, 0, 68.5140, 13.7732, 1961,      9.3,   8.4790,  33.7163, 2,  33.6940, 3,    304.5, 2,     2.24, 2,     0.10, 2,     0.00, 2,     0.13, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, -999.0000, 9, -999.0000,  -999.00, 9,  -999.00,   8.4781
