BOTTLE,20100830CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2010-08-30
#original HYD file: /Users/cberys/Work/Data/2010.08.30_P142007_1_PH_header_CBG/working/original_hy1.csv  2010-08-30
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,C13ERR,THETA,SIG0,SBE35,SBE35_FLAG_W,PH_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3,ITS-90,,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,DM/.1MG,,BQ/M^3,MBQ/M^3,,MBQ/M^3
49NZ20071008, P01, 28, 2, 18, X12024, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   2001.3, 2,   1.8670, 2,  34.6034, 2,  34.6034, 2,     77.9, 2,     79.5, 2,   161.13, 2,    40.91, 2,     0.02, 2,     2.89, 2,    0.007, 2,    0.001, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.7326, 27.6746,   1.8670, 2, 9, 0.47, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 17, X12023, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   2201.5, 2,   1.7655, 2,  34.6226, 2,  34.6227, 2,     90.0, 2,     91.5, 2,   159.93, 2,    40.09, 2,     0.01, 2,     2.84, 2,    0.004, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.6158, 27.6988,   1.7655, 2, 9, 0.47, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 16, X12022, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   2400.9, 2,   1.6759, 2,  34.6385, 2,  34.6384, 6,    101.5, 2,    103.0, 2,   159.60, 2,    39.50, 2,     0.02, 2,     2.78, 2,    0.003, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.5105, 27.7193,   1.6759, 2, 9, 0.47, 0.14, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 15, X12021, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   2599.9, 2,   1.6152, 2,  34.6494, 2,  34.6491, 2,    110.1, 2,    112.5, 2,   157.95, 2,    38.90, 2,     0.01, 2,     2.73, 2,    0.000, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.4332, 27.7336,   1.6153, 2, 9, 0.47, 0.14, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 14, X12020, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   2800.9, 2,   1.5659, 2,  34.6580, 2,  34.6578, 2,    119.5, 2,    120.8, 2,   155.92, 2,    38.31, 2,     0.02, 2,     2.68, 2,    0.015, 3,    0.007, 3,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.3665, 27.7453,   1.5659, 2, 9, 0.46, 0.14, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 13, X12019, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   3001.8, 2,   1.5251, 2,  34.6653, 2,  34.6653, 2,    127.2, 2,    128.5, 2,   154.61, 2,    37.85, 2,     0.01, 2,     2.66, 2,    0.000, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.3076, 27.7553,   1.5251, 2, 9, 0.46, 0.14, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 12, X12040, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   3249.6, 2,   1.4951, 2,  34.6716, 2,  34.6714, 2,    134.7, 2,    135.5, 2,   152.28, 2,    37.15, 2,     0.02, 2,     2.61, 2,    0.001, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.2543, 27.7642,   1.4952, 2, 9, 0.45, 0.14, 0.01, 0.016,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 11, X12047, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   3502.5, 2,   1.4698, 2,  34.6771, 2,  34.6771, 2,    141.4, 2,    141.8, 2,   150.83, 2,    36.85, 2,     0.02, 2,     2.57, 2,    0.000, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.2042, 27.7720,   1.4698, 2, 9, 0.45, 0.14, 0.01, 0.016,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 10, X12010, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   3749.5, 2,   1.4555, 2,  34.6812, 2,  34.6809, 6,    146.6, 2,    146.9, 2,   149.66, 2,    36.52, 2,     0.01, 2,     2.56, 2,    0.003, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.1647, 27.7780,   1.4554, 2, 9, 0.45, 0.14, 0.01, 0.016,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 9, X12015, 2, 20071010, 1149, 42.3303, 152.0905, 5119,   4001.3, 2,   1.4531, 2,  34.6842, 2,  34.6843, 2,    150.9, 2,    150.9, 2,   148.51, 2,    36.27, 2,     0.01, 2,     2.52, 2,    0.000, 2,    0.000, 2,    0.000, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   1.1354, 27.7825,   1.4530, 2, 9, 0.45, 0.13, 0.01, 0.016,  -999.00, 9, -999.00, -999.00, 9, -999.00
