BOTTLE,20120208PRINUNIVRMK
# 2/6/2012 Initialized README file  
# Data source:  2/6/2012 (via R.Ballerby and S.van Heuven) 
# SHIP: Polarstern 
# Cruise: ANT-XXIV_2 
# Region: 3 meridional secitons at 3W,0,3E; eastern Weddell Sea; A12 partial; Capetown to Capetown 
# EXPOCODE: 06AQ20071128 
# DATES: 11/28/2007 - 2/4/2008 
# Chief Scientist: Ulrich Bathmann (AWI) 
# 77 stations with 24 place Rosette 
# Hydro: Who - V. Strass; Status -  final 
# 	Notes: 	Bottle numbers fabricated 
# 	Temperature back-calculated from theta 
# 	No bottle salinity 
# Nuts: Who - R. Bellerby; Status - final 
# 	Notes: nitrate only. Data very noisy 
# O2: Who - R. Bellerby; Status - final 
# 	Notes: no CTDOXY in file 
# TCO2: Who - R. Bellerby; Status - final 
# 	Notes: See Hauck et al., 2009 
# TA: Who - R. Bellerby; Status - final 
# 	Notes:  
# CFC: Who - ; Status -  no data in file 
# 	Notes:  includes CFC-113 and CCl-4 
# POC/ChloroA: Who -  ; Status - no data yet  
# 	Notes:  
# References: 
# Hauck, J., M. Hoppema, R.G.J. Bellerby, C. Völker and D. Wolf-Gladrow, 2010. Data-based estimation of anthropogenic carbon and acidification in the Weddell Sea on a decadal time scale. Journal of Geophysical Research 115: C03004, doi:10.1029/2009JC005479. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  06AQ20071128,   A12,   317,  1,      7,2,    -999,   0,-70.0660,  -3.4110, 2479,    119.8,  -1.8370,  34.3150,2,    331.5,2,    31.70,2,   2214.6,2,   2327.4,2,  -1.8390
  06AQ20071128,   A12,   317,  1,      6,2,    -999,   0,-70.0660,  -3.4110, 2479,     99.9,  -1.8150,  34.3020,2,    330.4,2,    31.50,2,   2214.4,2,   2325.0,2,  -1.8170
  06AQ20071128,   A12,   317,  1,      5,2,    -999,   0,-70.0660,  -3.4110, 2479,     79.9,  -1.8170,  34.2890,2,    331.6,2,    31.50,2,   2214.7,2,   2325.3,2,  -1.8190
  06AQ20071128,   A12,   317,  1,      4,2,    -999,   0,-70.0660,  -3.4110, 2479,     59.6,  -1.7920,  34.2750,2,    332.6,2,    24.30,4,   2214.3,2,   2324.6,2,  -1.7930
  06AQ20071128,   A12,   317,  1,      3,2,    -999,   0,-70.0660,  -3.4110, 2479,     39.9,  -1.7420,  34.2610,2,    333.5,2,    30.80,2,   2212.6,2,   2325.6,2,  -1.7430
  06AQ20071128,   A12,   317,  1,      2,2,    -999,   0,-70.0660,  -3.4110, 2479,     20.3,  -1.2670,  34.1870,2,    338.8,2,    38.50,4,   2206.0,2,   2320.8,2,  -1.2670
  06AQ20071128,   A12,   317,  1,      1,2,    -999,   0,-70.0660,  -3.4110, 2479,     10.1,  -1.3110,  34.1500,2,    341.3,2,    30.90,2,   2202.9,2,   2314.9,2,  -1.3110
  06AQ20071128,   A12,   318,  1,     24,2,    -999,   0,-69.5370,  -2.8890, 3286,   1002.4,   0.5620,  34.6830,2,    207.3,2,    33.60,2,   2261.7,2,   2360.2,2,   0.5130
  06AQ20071128,   A12,   318,  1,     23,2,    -999,   0,-69.5370,  -2.8890, 3286,    500.8,   0.7270,  34.6670,2,    210.5,2,    33.30,2,   2254.3,2,   2354.2,2,   0.7040
  06AQ20071128,   A12,   318,  1,     22,2,    -999,   0,-69.5370,  -2.8890, 3286,    500.9,   0.7260,  34.6670,2,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,9,   0.7030
  06AQ20071128,   A12,   318,  1,     21,2,    -999,   0,-69.5370,  -2.8890, 3286,    350.5,   0.3960,  34.6150,2,    273.5,2,    32.80,2,   2233.8,2,   2337.1,2,   0.3810
