EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,CCL4,CCL4_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,PMOL/KG,,DEG C
74DI20040404,        A05,       1,          1,         20,2,20040404,       0000,    26.4783,   -79.0100,        716,   702.1,-999.0000,-999.0000,9,  35.3240,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         21,2,20040404,       0000,    26.4783,   -79.0100,        716,   702.0,-999.0000,-999.0000,9,  35.3240,2,   -999.0,9,  -999.0,4, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         22,2,20040404,       0000,    26.4783,   -79.0100,        716,   702.0,-999.0000,-999.0000,9,  35.3250,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         23,2,20040404,       0000,    26.4783,   -79.0100,        716,   701.9,-999.0000,-999.0000,9,  35.3230,2,   -999.0,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       1,          1,         24,2,20040404,       0000,    26.4783,   -79.0100,        716,   701.9,-999.0000,-999.0000,9,  35.3250,2,   -999.0,9,  -999.0,4, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,-999.000,9,-999.0000
74DI20040404,        A05,       2,          1,          1,2,20040405,       0000,    27.0138,   -79.9364,        134,   124.4,-999.0000,  36.3203,0,  36.3030,2,   -999.0,9,  -999.0,9,    4.83,2,   11.51,2,    0.68,2,   1.959,2,   1.074,2,   0.034,2,  -999.0,9,  2373.3,2,  -999.0,9, -999.00,   0.323,2,-999.0000
74DI20040404,        A05,       2,          1,          2,2,20040405,       0000,    27.0138,   -79.9364,        134,    50.8,-999.0000,  36.3791,0,  36.3970,2,   -999.0,9,  -999.0,9,    0.95,2,    0.45,2, -999.00,9,   1.896,2,   1.142,2,   0.128,2,  -999.0,9,  2384.9,2,  -999.0,9, -999.00,   1.871,2,-999.0000
74DI20040404,        A05,       2,          1,          3,2,20040405,       0000,    27.0138,   -79.9364,        134,    10.4,-999.0000,  36.2947,0,  36.2990,2,   -999.0,9,  -999.0,9,    1.10,2,    0.00,2,    0.07,2,   1.781,6,   1.090,6,   0.126,6,  -999.0,9,  -999.0,9,  -999.0,9, -999.00,   1.960,6,-999.0000
74DI20040404,        A05,       3,          1,          1,2,20040405,       0000,    27.0292,   -79.8626,        268,   253.3,-999.0000,  35.4230,0,  35.4210,2,   -999.0,9,  -999.0,9,   13.76,2,   22.84,2,    1.49,2,   1.080,6,   0.587,6,   0.008,6,  2186.9,2,  2328.4,2,   568.6,2,      15,   0.212,6,-999.0000
74DI20040404,        A05,       3,          1,          2,2,20040405,       0000,    27.0292,   -79.8626,        268,   150.7,-999.0000,  36.3753,0,  36.3650,2,   -999.0,9,  -999.0,9,    4.10,2,    9.27,2,    0.52,2,   1.949,2,   1.112,2,   0.053,2,  2135.2,2,  -999.0,9,   460.2,2,      15,   0.543,2,-999.0000
