EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  06MT19990711,   401,  1,     22,2,19990712,0000, 50.9483, -51.9680,  219,     10.5,   7.4410,  32.6480,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   7.4400
  06MT19990711,   402,  2,      1,2,19990712,0000, 52.8500, -51.5970, 1235,   1240.2,   3.2890,  34.8650,2,    289.9,2,     9.57,2,    16.14,2,     0.01, 2,     1.22,2,    4.058,2,    2.060,2,   2152.3,2,   7.7249,2,    25.00,   3.1989
  06MT19990711,   402,  2,      2,2,19990712,0000, 52.8500, -51.5970, 1235,   1200.1,   3.2940,  34.8650,2,    290.5,2,     9.41,2,    16.26,2,     0.00, 2,     1.19,2,    4.028,2,    2.098,2,   2151.1,2,   7.7264,2,    25.00,   3.2072
  06MT19990711,   402,  2,      3,2,19990712,0000, 52.8500, -51.5970, 1235,   1099.8,   3.3150,  34.8620,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.2361
  06MT19990711,   402,  2,      4,2,19990712,0000, 52.8500, -51.5970, 1235,    900.0,   3.3640,  34.8430,2,    297.3,2,     8.30,2,    15.57,2,     0.00, 2,     1.16,2,    4.649,2,    2.415,2,   2149.1,2,   7.7304,2,    25.00,   3.3005
  06MT19990711,   402,  2,      5,2,19990712,0000, 52.8500, -51.5970, 1235,    900.0,   3.3670,  34.8430,2,    297.4,2,     8.36,2,    15.62,2,     0.00, 2,     1.14,2, -999.000,2, -999.000,2,   2148.3,2,   7.7306,2,    25.00,   3.3035
  06MT19990711,   402,  2,      6,2,19990712,0000, 52.8500, -51.5970, 1235,    699.6,   3.4790,  34.8440,2,    296.1,2,     8.22,2,    15.47,2,     0.00, 2,     1.12,2,    4.624,2,    2.416,2,   2146.4,2,   7.7335,2,    25.00,   3.4301
  06MT19990711,   402,  2,      7,2,19990712,0000, 52.8500, -51.5970, 1235,    699.8,   3.4790,  34.8440,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.4301
  06MT19990711,   402,  2,      8,2,19990712,0000, 52.8500, -51.5970, 1235,    599.4,   3.5020,  34.8400,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    4.715,2,    2.522,2,   -999.0,9,-999.0000,9,  -999.00,   3.4605
  06MT19990711,   402,  2,      9,2,19990712,0000, 52.8500, -51.5970, 1235,    599.6,   3.5020,  34.8400,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.4604
  06MT19990711,   402,  2,     10,2,19990712,0000, 52.8500, -51.5970, 1235,    499.3,   3.5340,  34.8350,2,    297.2,2,     8.11,2,    15.16,2,     0.01, 2,     1.09,2,    4.726,2,    2.513,2,   2145.4,2,   7.7364,2,    25.00,   3.4997
  06MT19990711,   402,  2,     11,2,19990712,0000, 52.8500, -51.5970, 1235,    397.1,   3.5820,  34.8280,2,    297.5,2,     7.94,2,    14.98,2,     0.01, 2,     1.07,2,    4.768,2,    2.510,2,   2144.3,2,   7.7377,2,    25.00,   3.5549
  06MT19990711,   402,  2,     12,2,19990712,0000, 52.8500, -51.5970, 1235,    296.9,   3.6160,  34.8170,2,    297.1,2,     7.87,2,    14.82,2,     0.01, 2,     1.07,2,    4.736,2,    2.536,2,   2144.3,2,   7.7417,2,    25.00,   3.5959
  06MT19990711,   402,  2,     13,2,19990712,0000, 52.8500, -51.5970, 1235,    196.6,   3.6540,  34.7840,2,    300.0,2,     7.75,2,    14.40,2,     0.01, 2,     1.06,2,    4.984,2,    2.728,2,   2142.5,2,   7.7428,2,    25.00,   3.6408
  06MT19990711,   402,  2,     14,2,19990712,0000, 52.8500, -51.5970, 1235,    157.4,   3.7110,  34.7500,2,    300.7,2,     7.46,2,    14.03,2,     0.03, 2,     1.04,2, -999.000,2, -999.000,2,   2139.5,2,   7.7458,2,    25.00,   3.7004
  06MT19990711,   402,  2,     15,2,19990712,0000, 52.8500, -51.5970, 1235,    129.3,   3.7100,  34.7110,2,    301.0,2,     7.19,2,    13.59,2,     0.06, 2,     1.00,2, -999.000,2, -999.000,2,   2137.0,2,   7.7447,2,    25.00,   3.7013
  06MT19990711,   402,  2,     16,2,19990712,0000, 52.8500, -51.5970, 1235,     98.8,   3.7460,  34.6480,2,    302.7,2,     6.74,2,    12.67,2,     0.25, 2,     0.93,2,    5.168,2,    2.810,2,   2132.5,2,   7.7564,2,    25.00,   3.7394
  06MT19990711,   402,  2,     17,2,19990712,0000, 52.8500, -51.5970, 1235,     68.8,   4.1970,  34.6080,2,    307.7,2,     5.68,2,    10.84,2,     0.29, 2,     0.87,2, -999.000,2, -999.000,2,   2128.1,2,   7.7692,2,    25.00,   4.1922
  06MT19990711,   402,  2,     18,2,19990712,0000, 52.8500, -51.5970, 1235,     38.6,   4.2490,  35.1730,2,    318.2,2,     4.24,2,     7.87,2,     0.24, 2,     0.70,2, -999.000,2, -999.000,2,   2110.6,2,   7.7925,2,    25.00,   4.2462
  06MT19990711,   402,  2,     19,2,19990712,0000, 52.8500, -51.5970, 1235,     10.3,   5.1270,  33.7940,2,    335.4,2,     1.28,2,     2.56,2,     0.09, 2,     0.40,2,    5.535,2,    2.917,2,   2064.7,2,   7.8707,2,    25.00,   5.1262
  06MT19990711,   402,  2,     20,2,19990712,0000, 52.8500, -51.5970, 1235,     10.4,   5.1270,  33.7940,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   5.1262
  06MT19990711,   402,  2,     21,2,19990712,0000, 52.8500, -51.5970, 1235,     10.3,   5.1270,  33.7940,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   5.1262
  06MT19990711,   402,  2,     22,2,19990712,0000, 52.8500, -51.5970, 1235,     10.4,   5.1270,  33.7940,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   5.1262
  06MT19990711,   403,  3,      1,2,19990713,0000, 52.8000, -51.7500,  543,    536.6,   3.6580,  34.8030,2,    297.5,2,     7.96,2,    14.75,2,     0.01, 2,     1.10,2,    4.879,2,    2.594,2,   2141.9,2,   7.7400,2,    25.00,   3.6205
  06MT19990711,   403,  3,      2,2,19990713,0000, 52.8000, -51.7500,  543,    537.7,   3.6580,  34.8030,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   2143.6,2,   7.7408,2,    25.00,   3.6204
  06MT19990711,   403,  3,      3,2,19990713,0000, 52.8000, -51.7500,  543,    499.5,   3.6720,  34.7990,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.6371
  06MT19990711,   403,  3,      4,2,19990713,0000, 52.8000, -51.7500,  543,    444.8,   3.6690,  34.7990,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   2143.9,2,   7.7398,2,    25.00,   3.6382
  06MT19990711,   403,  3,      5,2,19990713,0000, 52.8000, -51.7500,  543,    397.3,   3.6660,  34.7990,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.6386
  06MT19990711,   403,  3,      6,2,19990713,0000, 52.8000, -51.7500,  543,    367.0,   3.6850,  34.7960,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.6597
  06MT19990711,   403,  3,      7,2,19990713,0000, 52.8000, -51.7500,  543,    297.8,   3.7430,  34.7860,2,    296.2,2,     8.09,2,    14.59,2,     0.00, 2,     1.07,2, -999.000,2, -999.000,2,   2143.2,2,   7.7409,2,    25.00,   3.7225
  06MT19990711,   403,  3,      8,2,19990713,0000, 52.8000, -51.7500,  543,    250.2,   3.7610,  34.7690,2,    298.2,2,     7.65,2,    14.18,2,     0.00, 2,     1.05,2, -999.000,2, -999.000,2,   2140.2,2,   7.7453,2,    25.00,   3.7439
  06MT19990711,   403,  3,      9,2,19990713,0000, 52.8000, -51.7500,  543,    197.6,   3.8390,  34.7350,2,    296.6,2,     7.43,2,    13.92,2,     0.00, 2,     1.04,2, -999.000,2, -999.000,2,   2139.5,2,   7.7463,2,    25.00,   3.8254
  06MT19990711,   403,  3,     10,2,19990713,0000, 52.8000, -51.7500,  543,    160.5,   3.5720,  34.6630,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.5614
  06MT19990711,   403,  3,     11,2,19990713,0000, 52.8000, -51.7500,  543,    127.9,   3.2620,  34.5820,2,    298.6,2,     8.27,2,    13.13,2,     0.00, 2,     1.00,2, -999.000,2, -999.000,2,   2135.3,2,   7.7418,2,    25.00,   3.2539
  06MT19990711,   403,  3,     12,2,19990713,0000, 52.8000, -51.7500,  543,     98.1,   3.1650,  34.5300,2,    301.0,2,     7.73,2,    12.72,2,     0.01, 2,     0.93,2,    5.197,2,    2.887,2,   2132.6,2,   7.7434,2,    25.00,   3.1589
  06MT19990711,   403,  3,     13,2,19990713,0000, 52.8000, -51.7500,  543,     69.5,   2.8910,  34.3180,2,    312.6,2,     5.46,2,     9.24,2,     0.26, 2,     0.78,2, -999.000,2, -999.000,2,   2119.8,2,   7.7746,2,    25.00,   2.8869
  06MT19990711,   403,  3,     14,2,19990713,0000, 52.8000, -51.7500,  543,     39.0,   3.3750,  34.3680,2,    326.0,2,     4.11,2,     6.07,2,     0.14, 2,     0.60,2, -999.000,2, -999.000,2,   2103.0,2,   7.7988,2,    25.00,   3.3725
  06MT19990711,   403,  3,     15,2,19990713,0000, 52.8000, -51.7500,  543,     10.1,   4.9560,  33.6390,2,    338.2,2,     1.19,2,     0.42,2,     0.04, 2,     0.30,2,    5.662,2,    3.010,2,   2041.8,2,   7.8856,2,    25.00,   4.9553
  06MT19990711,   404,  4,      1,2,19990713,0000, 52.9420, -51.2670, 2285,   2308.4,   2.7370,  34.8990,2,    285.4,2,    11.04,2,    15.59,2,     0.01, 2,     1.15,2,    2.754,2,    1.385,2,   2150.1,2,   7.7347,2,    25.00,   2.5603
  06MT19990711,   404,  4,      2,2,19990713,0000, 52.9420, -51.2670, 2285,   2150.9,   2.7810,  34.8960,2,    286.3,2,    10.70,2,    16.04,2,     0.01, 2,     1.13,2,    2.769,2,    1.405,2,   2151.2,2,   7.7334,2,    25.00,   2.6182
  06MT19990711,   404,  4,      3,2,19990713,0000, 52.9420, -51.2670, 2285,   1999.1,   2.9170,  34.8910,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   2.7659
  06MT19990711,   404,  4,      4,2,19990713,0000, 52.9420, -51.2670, 2285,   1798.3,   2.9750,  34.8690,2,    292.7,2,     9.76,2,    16.00,2,     0.00, 2,     1.14,2,    3.553,2,    1.779,2,   2149.1,2,   7.7308,2,    25.00,   2.8411
  06MT19990711,   404,  4,      5,2,19990713,0000, 52.9420, -51.2670, 2285,   1602.5,   3.0000,  34.8590,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   2.8828
  06MT19990711,   404,  4,      6,2,19990713,0000, 52.9420, -51.2670, 2285,   1396.6,   3.0870,  34.8620,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9,    3.952,2,    1.966,2,   -999.0,9,-999.0000,9,  -999.00,   2.9861
  06MT19990711,   404,  4,      7,2,19990713,0000, 52.9420, -51.2670, 2285,   1197.2,   3.2250,  34.8700,2,    289.7,2,     9.61,2,    16.31,2,     0.00, 2,     1.12,2,    3.956,2,    2.040,2,   2151.5,2,   7.7273,2,    25.00,   3.1390
  06MT19990711,   404,  4,      8,2,19990713,0000, 52.9420, -51.2670, 2285,    996.0,   3.3280,  34.8630,2,    290.6,2,     9.22,2,    16.17,2,     0.01, 2,     1.12,2,    4.185,2,    2.235,2,   2151.2,2,   7.7226,2,    25.00,   3.2572
  06MT19990711,   404,  4,      9,2,19990713,0000, 52.9420, -51.2670, 2285,    797.5,   3.3240,  34.8450,2,    297.4,2,     8.56,2,    15.54,2,     0.01, 2,     1.09,2,    4.663,2,    2.396,2,   2149.2,2,   7.7323,2,    25.00,   3.2686
  06MT19990711,   404,  4,     10,2,19990713,0000, 52.9420, -51.2670, 2285,    599.4,   3.4610,  34.8480,2,    298.6,2,     8.39,2,    15.35,2,     0.01, 2,     1.09,2,    4.735,2,    2.487,2,   2146.6,2,   7.7359,2,    25.00,   3.4196
  06MT19990711,   404,  4,     11,2,19990713,0000, 52.9420, -51.2670, 2285,    397.1,   3.4390,  34.8270,2,    299.0,2,     8.27,2,    15.17,2,     0.02, 2,     1.07,2,    4.786,2,    2.569,2,   2146.3,2,   7.7391,2,    25.00,   3.4123
  06MT19990711,   404,  4,     12,2,19990713,0000, 52.9420, -51.2670, 2285,    297.9,   3.5040,  34.8170,2,    298.4,2,     8.33,2,    15.06,2,     0.03, 2,     1.07,2, -999.000,2,    2.563,2,   2145.4,2,   7.7389,2,    25.00,   3.4841
  06MT19990711,   404,  4,     13,2,19990713,0000, 52.9420, -51.2670, 2285,    197.6,   3.4930,  34.7830,2,    296.1,2,     8.61,2,    15.18,2,     0.06, 2,     1.09,2,    4.799,2,    2.601,2,   2147.5,2,   7.7368,2,    25.00,   3.4800
  06MT19990711,   404,  4,     14,2,19990713,0000, 52.9420, -51.2670, 2285,    157.6,   3.5810,  34.7650,2,    291.0,2,     8.82,2,    15.56,2,     0.10, 2,     1.16,2, -999.000,2, -999.000,2,   2149.0,2,   7.7281,2,    25.00,   3.5705
  06MT19990711,   404,  4,     15,2,19990713,0000, 52.9420, -51.2670, 2285,    129.9,   3.5910,  34.7280,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9,  -999.00,9, -999.000,2, -999.000,2,   -999.0,9,-999.0000,9,  -999.00,   3.5824
  06MT19990711,   404,  4,     16,2,19990713,0000, 52.9420, -51.2670, 2285,     97.3,   3.8180,  34.6760,2,    304.3,2,     7.65,2,    13.66,2,     0.35, 2,     1.06,2, -999.000,2,    2.752,2,   2138.7,2,   7.7498,2,    25.00,   3.8114
  06MT19990711,   404,  4,     17,2,19990713,0000, 52.9420, -51.2670, 2285,     66.5,   4.0050,  34.5640,2,    307.3,2,     6.48,2,    11.42,2,     0.67, 2,     0.94,2, -999.000,2, -999.000,2,   2130.1,2,   7.7685,2,    25.00,   4.0004
  06MT19990711,   404,  4,     18,2,19990713,0000, 52.9420, -51.2670, 2285,     38.0,   6.9900,  34.7160,2,    313.1,2,     4.64,2,     8.95,2,     0.26, 2,     0.82,2, -999.000,2, -999.000,2,   2118.1,2,   7.7937,2,    25.00,   6.9865
