EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,PH,PH_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,BARIUM,BARIUM_FLAG_W,CALCIUM,CALCIUM_FLAG_W,CHLORA,CHLORA_FLAG_W,TOC,TOC_FLAG_W,CU,CU_FLAG_W,NI,NI_FLAG_W,THETA,SIG0
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,MMOL/KG,,UG/KG,,UMOL/L,,UMOL/L,,UMOL/L,,ITS-90,KG/M^3
   49NZ199905_1,   P01C,5,1,20,20,2,19990825,548,42.6497,145.6995,2408,202.3,2,1.9063,2,33.3663,2,33.3574,4,195.58,2,230.85,2,58.52,3,29.11,3,0,3,2.27,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.8961,26.6635
   49NZ199905_1,   P01C,5,1,19,19,2,19990825,548,42.6497,145.6995,2408,250.8,2,2.2897,2,33.5124,2,33.5067,2,146.37,2,179.16,2,71.19,2,33.25,3,0,2,2.53,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.2761,26.7539
   49NZ199905_1,   P01C,5,1,18,18,2,19990825,548,42.6497,145.6995,2408,299.5,2,2.8547,2,33.6626,2,33.64,4,110.6,2,139.05,2,79.16,3,36.25,3,0.01,3,2.69,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.8368,26.8139
   49NZ199905_1,   P01C,5,1,17,17,2,19990825,548,42.6497,145.6995,2408,348.9,2,3.1058,2,33.7793,2,33.7748,2,81.24,2,103.68,2,87.72,2,38.91,3,0,2,2.84,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.0841,26.8996
   49NZ199905_1,   P01C,5,1,16,16,2,19990825,548,42.6497,145.6995,2408,399.2,2,3.3649,2,33.9028,2,33.8997,6,51.97,2,67.58,2,98.36,2,41.92,3,0,2,3.01,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.3389,26.9757
   49NZ199905_1,   P01C,5,1,15,15,2,19990825,548,42.6497,145.6995,2408,499.5,2,3.1098,2,33.9852,2,34.0049,4,39.66,2,48.83,2,110.51,3,43.26,3,0,3,3.1,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.0779,27.0837
   49NZ199905_1,   P01C,5,1,14,14,2,19990825,548,42.6497,145.6995,2408,598.8,2,3.3451,2,34.1219,2,34.1185,2,25.13,2,37.44,2,117.83,2,43.73,3,0,2,3.12,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.3051,27.1533
   49NZ199905_1,   P01C,5,1,13,13,2,19990825,548,42.6497,145.6995,2408,699.2,2,3.2536,2,34.2116,2,34.2144,2,21.26,2,32.04,2,126.78,2,43.98,3,0,2,3.14,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.2067,27.239
   49NZ199905_1,   P01C,5,1,12,12,2,19990825,548,42.6497,145.6995,2408,800,2,3.2227,2,34.2934,2,34.2942,2,24.3,2,37.21,2,130.41,2,43.63,3,0,2,3.09,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.1685,27.3062
   49NZ199905_1,   P01C,5,1,11,11,2,19990825,548,42.6497,145.6995,2408,898.6,2,3.0801,2,34.3418,2,34.3427,6,25.26,2,38.17,2,135.49,2,43.54,3,0,2,3.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.0195,27.3587
