BOTTLE,20161130CCHSIORJL
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change CFC-11 empty data value from 9.00 to -999.000 for 107,2,USW (STNNBR,CASTNO,BTLNBR)
#Change CFC-12 empty data value from 9.00 to -999.000 for 107,2,USW (STNNBR,CASTNO,BTLNBR)
#BOTTLE,20070403JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 18DD9910_1_sum.txt Fri Mar 16 17:48:04 +0900 2007
#ORIGINAL_HYD_FILE: 18DD9910_1_sea.txt Tue Apr 03 17:31:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BE
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO3+NO2,NO3+NO2_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,/MILLE,,UMOL/KG,,UMOL/KG,
    18DD9910_1,   P1E,   114,  1,     37,      4,2,19990603,0430, 47.0030,-125.0582,  822,    400.8,   5.2157,  34.0840,2,    38.88,2,    78.34,2,    39.99,2,     2.91,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     36,      3,2,19990603,0430, 47.0030,-125.0582,  822,    599.7,   4.6132,  34.2040,2,    19.00,2,    96.46,2,    41.63,2,     3.10,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     35,      2,2,19990603,0430, 47.0030,-125.0582,  822,    799.2,   4.2273,  34.2850,2,    12.79,2,   107.49,2,    42.68,2,     3.18,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   114,  1,     34,      1,2,19990603,0430, 47.0030,-125.0582,  822,    799.4,   4.2202,-999.0000,5,    12.68,2,   107.99,2,    42.35,2,     3.17,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   113,  2,     L7,    USW,2,19990603,-999, 47.0005,-125.5102,   -9,      5.0,-999.0000,  32.0630,2,  -999.00,9,     1.44,2,     0.00,2,     0.23,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   113,  1,     62,     16,2,19990603,0727, 47.0005,-125.5102, 1760,      1.7,  11.8209,  32.0520,2,   292.78,2,     1.06,2,     0.03,2,     0.23,2,     3.62,2,     1.85,2, -999.000,1,   1922.8,2,   2169.0,2
    18DD9910_1,   P1E,   113,  1,     61,     15,2,19990603,0727, 47.0005,-125.5102, 1760,      9.7,  11.8172,  32.0500,2,   294.37,2,     0.89,2,     0.03,2,     0.23,2,     3.82,2,     1.95,2, -999.000,1,   1921.5,2,   2158.9,2
    18DD9910_1,   P1E,   113,  1,     60,     14,2,19990603,0727, 47.0005,-125.5102, 1760,     23.7,  11.4566,  32.0500,2,   294.28,2,     1.76,2,     0.03,2,     0.27,2,     3.79,2,     1.93,2, -999.000,1,   1927.6,2,   2170.7,2
    18DD9910_1,   P1E,   113,  1,     59,     13,2,19990603,0727, 47.0005,-125.5102, 1760,     48.2,   8.5086,  32.7230,2,   277.80,2,    11.15,2,     8.22,2,     0.93,2,     4.20,2,     2.11,2, -999.000,1,   2038.3,2,   2191.5,2
    18DD9910_1,   P1E,   113,  1,     58,     12,2,19990603,0727, 47.0005,-125.5102, 1760,     74.1,   8.2376,  33.0110,2,   227.40,2,    17.55,2,    14.93,2,     1.30,2,     3.82,2,     1.89,2, -999.000,1,   2082.8,2,   2194.0,2
    18DD9910_1,   P1E,   113,  1,     57,     11,2,19990603,0727, 47.0005,-125.5102, 1760,    101.3,   8.0451,  33.5630,2,   142.30,2,    31.22,2,    25.32,2,     1.93,2,     3.03,2,     1.52,2, -999.000,1,   2166.0,2,   2239.3,2
    18DD9910_1,   P1E,   113,  1,     56,     10,2,19990603,0727, 47.0005,-125.5102, 1760,    150.0,   7.4107,  33.8860,2,   104.85,2,    41.58,2,    30.52,2,     2.24,2,     2.56,2,     1.21,2, -999.000,1,   2208.9,2,   2248.9,2
    18DD9910_1,   P1E,   113,  1,     55,      9,2,19990603,0727, 47.0005,-125.5102, 1760,    201.2,   6.5475,  33.9760,2,    85.22,2,    52.28,2,    33.84,2,     2.46,2,     1.84,2,     0.90,2, -999.000,1,   2237.9,2,   2275.7,2
    18DD9910_1,   P1E,   113,  1,     54,      8,2,19990603,0727, 47.0005,-125.5102, 1760,    298.6,   5.8004,  34.0180,2,    63.06,2,    64.20,2,    36.98,2,     2.69,2,     1.15,2,     0.85,3, -999.000,1,   2265.0,2,   2286.3,2
    18DD9910_1,   P1E,   113,  1,     53,      7,2,19990603,0727, 47.0005,-125.5102, 1760,    399.4,   5.3123,  34.0690,2,    43.05,2,    75.61,2,    39.47,2,     2.86,2,     0.69,2,     0.36,2, -999.000,1,   2290.7,2,   2299.8,2
    18DD9910_1,   P1E,   113,  1,     52,      6,2,19990603,0727, 47.0005,-125.5102, 1760,    598.9,   4.5213,  34.2210,2,    17.88,2,    98.27,2,    42.08,2,     3.10,2,     0.14,2,     0.08,2, -999.000,1,   2334.0,2,   2329.5,2
    18DD9910_1,   P1E,   113,  1,     51,      5,2,19990603,0727, 47.0005,-125.5102, 1760,    799.5,   3.9961,  34.3390,2,    14.61,2,   113.99,2,    43.26,2,     3.18,2,     0.04,2,     0.00,2, -999.000,1,   2358.0,2,   2352.3,2
    18DD9910_1,   P1E,   113,  1,     50,      4,2,19990603,0727, 47.0005,-125.5102, 1760,   1000.3,   3.6206,  34.4000,2,    13.48,2,   125.17,2,    43.21,2,     3.18,2,     0.03,2,     0.00,2, -999.000,1,   2368.7,2,   2370.3,2
    18DD9910_1,   P1E,   113,  1,     49,      3,2,19990603,0727, 47.0005,-125.5102, 1760,   1247.9,   3.1180,  34.4660,2,    19.78,2,   138.17,2,    43.75,2,     3.14,2,     0.00,2,     0.00,2, -999.000,1,   2378.9,2,   2385.3,2
    18DD9910_1,   P1E,   113,  1,     48,      2,2,19990603,0727, 47.0005,-125.5102, 1760,   1499.6,   2.6504,  34.5100,2,    29.52,2,   151.06,2,    43.22,2,     3.10,2,     0.00,2,     0.00,2, -999.000,1,   2385.3,2,   2392.8,2
    18DD9910_1,   P1E,   113,  1,     47,      1,2,19990603,0727, 47.0005,-125.5102, 1760,   1759.1,   2.1798,  34.5680,2,    51.88,2,   165.65,2,    41.85,2,     3.01,2,     0.00,2,     0.00,2, -999.000,1,   2386.6,2,   2404.8,2
    18DD9910_1,   P1E,   112,  2,     L8,    USW,2,19990603,-999, 46.9988,-126.0012,   -9,      5.0,-999.0000,  32.1920,2,  -999.00,9,     7.16,2,     0.59,2,     0.36,2,  -999.00,9,  -999.00,9, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     82,     20,2,19990603,1136, 46.9988,-126.0012, 2565,      2.0,  11.9501,  32.2420,2,   284.58,2,     7.72,2,     0.61,2,     0.41,2,     3.50,2,     1.82,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     81,     19,2,19990603,1136, 46.9988,-126.0012, 2565,     10.9,  11.9501,  32.2420,2,   285.28,2,     7.71,2,     0.61,2,     0.40,2,     3.46,2,     1.80,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     80,     18,2,19990603,1136, 46.9988,-126.0012, 2565,     25.0,  10.4077,  32.6260,2,   300.29,2,     8.91,2,     3.44,2,     0.62,2,     3.73,2,     1.93,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     79,     17,2,19990603,1136, 46.9988,-126.0012, 2565,     48.5,   8.9288,  32.7810,2,   300.02,2,     9.94,2,     6.03,2,     0.77,2,     4.06,2,     2.02,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     78,     16,2,19990603,1136, 46.9988,-126.0012, 2565,     76.9,   8.3286,  32.7980,2,   286.95,2,    10.97,2,     7.75,2,     0.87,2,     4.08,2,     2.10,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     77,     15,2,19990603,1136, 46.9988,-126.0012, 2565,    100.9,   8.4752,  33.4100,2,   178.24,2,    24.68,2,    20.93,2,     1.64,2,     3.30,2,     1.63,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     76,     14,2,19990603,1136, 46.9988,-126.0012, 2565,    149.5,   7.6076,  33.8630,2,   126.98,2,    37.51,2,    28.45,2,     2.06,2,     2.73,2,     1.35,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     75,     13,2,19990603,1136, 46.9988,-126.0012, 2565,    199.9,   7.0722,  33.9390,2,   113.46,2,    44.23,2,    31.00,2,     2.21,2,     2.25,2,     1.09,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     74,     12,2,19990603,1136, 46.9988,-126.0012, 2565,    299.1,   6.0801,  33.9840,2,    81.60,2,    59.68,2,    35.04,2,     2.53,2,     5.25,4,    35.38,4, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     73,     11,2,19990603,1136, 46.9988,-126.0012, 2565,    399.0,   5.3932,  34.0400,2,    49.66,2,    73.06,2,    38.96,2,     2.80,2,     0.76,2,     0.40,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     72,     10,2,19990603,1136, 46.9988,-126.0012, 2565,    601.9,   4.5519,  34.1760,2,    18.15,2,    97.54,2,    42.95,2,     3.07,2,     0.13,2,     0.07,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     71,      9,2,19990603,1136, 46.9988,-126.0012, 2565,    800.6,   3.9836,  34.3160,2,    10.65,2,   116.14,2,    43.19,2,     3.17,2,     0.00,2,     0.00,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     70,      8,2,19990603,1136, 46.9988,-126.0012, 2565,    999.5,   3.5031,  34.3930,2,    11.05,2,   129.31,2,    43.61,2,     3.17,2,     0.00,2,     0.00,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     69,      7,2,19990603,1136, 46.9988,-126.0012, 2565,   1248.2,   2.9659,  34.4690,2,    20.88,2,   145.22,2,    43.91,2,     3.14,2,     0.00,2,     0.00,2, -999.000,9,   -999.0,9,   -999.0,9
    18DD9910_1,   P1E,   112,  1,     68,      6,2,19990603,1136, 46.9988,-126.0012, 2565,   1499.7,   2.5226,  34.5250,2,    34.53,2,   157.82,2,    42.83,2,     3.07,2,     0.00,2,     0.00,2, -999.000,9,   -999.0,9,   -999.0,9
