BOTTLE,20100505WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20070418
#original HYD file: i05_74AB20020301hy.txt   Fri Mar  9 11:29:46 2007
#original SUM file: i05_74AB20020301su.txt   Tue Apr 17 11:43:05 2007
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,PH_TMP,HELIER,TRITER,NEONER
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,NMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,NMOL/KG,TU,NMOL/KG
  74AB20020301,   I05,   002,  1, 158779, 158779,2,20020302,1149,-30.6345,  33.4047, 3038,   2199.4,   2.6142,  34.7662,2,  34.7663,2,    190.0,2,  2.4501,    190.9,2,    71.29,2,    31.00,2,     2.10,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2348.6,2,   7.6384,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158778, 158778,2,20020302,1149,-30.6345,  33.4047, 3038,   2395.4,   2.4985,  34.7895,2,  34.7899,2,    200.1,2,  2.3182,    201.6,2,    67.67,2,    29.83,2,     2.01,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2346.1,2,   7.6581,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158777, 158777,2,20020302,1149,-30.6345,  33.4047, 3038,   2593.9,   2.4065,  34.8043,2,  34.8041,2,    207.6,2,  2.2091,    208.8,2,    65.43,2,    29.05,2,     1.97,2,    0.005,2,    0.010,2,   -0.004,2, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2345.7,2,   7.6698,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158776, 158776,2,20020302,1149,-30.6345,  33.4047, 3038,   2797.2,   2.3128,  34.8128,2,  34.8141,2,    213.2,2,  2.0976,    214.2,2,    64.64,2,    28.46,2,     1.90,2,    0.004,2,    0.007,2,   -0.003,2, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2344.9,2,   7.6713,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158775, 158775,2,20020302,1149,-30.6345,  33.4047, 3038,   3008.7,   2.1986,  34.8132,2,  34.8133,2,    216.3,2,  1.9650,    215.3,2,    66.99,2,    28.37,2,     1.94,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2347.6,2,   7.6786,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   002,  1, 158774, 158774,2,20020302,1149,-30.6345,  33.4047, 3038,   3064.1,   2.1847,  34.8128,2,-999.0000,9,    216.8,2,  1.9458,    213.6,2,    67.67,2,    28.27,2,     1.89,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   2347.4,2,   7.6793,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   003,  1, 158818, 158818,2,20020302,1645,-30.4753,  33.1792, 2918,      3.2,  26.5387,  35.6551,2,  35.6546,2,    204.9,2, 26.5380,   -999.0,9,     2.05,2,     0.00,2,     0.01,2,    1.696,6,    1.074,6,    0.355,4, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   8.1105,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   003,  1, 158817, 158817,2,20020302,1645,-30.4753,  33.1792, 2918,     78.2,  22.4567,  35.4457,2,  35.4316,2,    201.8,2, 22.4410,   -999.0,9,     2.93,2,     0.39,2,     0.16,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   8.0499,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   003,  1, 158816, 158816,2,20020302,1645,-30.4753,  33.1792, 2918,    127.6,  19.7581,  35.6653,2,  35.6634,2,    208.2,2, 19.7346,    177.8,2,     2.83,2,     2.77,2,     0.20,2,    2.253,6,    1.346,6,    0.234,4, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   8.0170,2,   25.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   003,  1, 158815, 158815,2,20020302,1645,-30.4753,  33.1792, 2918,    252.4,  16.5695,  35.6028,2,  35.6028,2,    207.8,2, 16.5283,    206.6,2,     3.42,2,     4.10,2,     0.39,2,    2.594,2,    1.477,2,    0.097,2, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   7.9537,2,   25.00,-999.0000,-999.000,-999.000
