EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  740H20090203,  SR01,     4,  1,     13,     13,2,20090206,0731,-56.8501, -68.2100,  538,     76.4,   6.8143,  34.0445,2,  34.0471,2,    284.8,    284.7,   2,     2.02,2,    18.37,2,     1.33,2,   2104.3,2,   -999.0,9
  740H20090203,  SR01,     4,  1,     14,     14,9,20090206,0731,-56.8501, -68.2100,  538,     76.5,   6.8178,  34.0442,2,-999.0000,9,    285.3,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     15,     15,9,20090206,0731,-56.8501, -68.2100,  538,     76.4,   6.8165,  34.0441,2,-999.0000,9,    284.8,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     16,     16,2,20090206,0731,-56.8501, -68.2100,  538,     75.7,   6.8139,  34.0443,2,  34.0459,2,    284.9,    285.3,   2,     1.91,2,    18.32,2,     1.33,2,   2099.8,2,   2273.3,6
  740H20090203,  SR01,     4,  1,     17,     17,9,20090206,0731,-56.8501, -68.2100,  538,     51.3,   7.0120,  34.0177,2,-999.0000,9,    287.4,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     18,     18,9,20090206,0731,-56.8501, -68.2100,  538,     50.9,   7.0129,  34.0178,2,-999.0000,9,    287.8,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     19,     19,2,20090206,0731,-56.8501, -68.2100,  538,     25.6,   7.3212,  33.9708,2,  34.0190,2,    287.3,    287.3,   2,     1.57,2,    17.83,2,     1.28,2,   2097.6,2,   2276.3,6
  740H20090203,  SR01,     4,  1,     20,     20,9,20090206,0731,-56.8501, -68.2100,  538,     25.0,   7.3078,  33.9714,2,-999.0000,9,    287.4,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     21,     21,9,20090206,0731,-56.8501, -68.2100,  538,     25.2,   7.3225,  33.9710,2,-999.0000,9,    287.3,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     22,     22,2,20090206,0731,-56.8501, -68.2100,  538,      6.0,   7.3298,  33.9707,2,  33.9715,2,    287.6,    287.9,   2,     1.37,2,    17.42,2,     1.23,2,   2093.1,2,   2265.1,6
  740H20090203,  SR01,     4,  1,     23,     23,9,20090206,0731,-56.8501, -68.2100,  538,      6.0,   7.3273,  33.9708,2,-999.0000,9,    287.4,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     4,  1,     24,     24,9,20090206,0731,-56.8501, -68.2100,  538,      6.4,   7.3254,  33.9709,2,-999.0000,9,    287.4,   -999.0,   9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     5,  1,      1,      1,2,20090206,1016,-56.8800, -68.2300, 1339,   1328.7,   2.8703,  34.4612,2,  34.4617,2,    167.8,    166.4,   2,    64.49,2,    36.58,2,     2.57,4,   2244.5,2,   2331.6,6
  740H20090203,  SR01,     5,  1,      2,      2,2,20090206,1016,-56.8800, -68.2300, 1339,   1277.8,   2.9491,  34.4364,2,  34.4366,2,    172.4,    171.8,   2,    60.49,2,    35.72,2,     2.37,2,   2241.9,2,   2324.5,6
  740H20090203,  SR01,     5,  1,      3,      3,2,20090206,1016,-56.8800, -68.2300, 1339,   1013.3,   3.4358,  34.3332,2,  34.3409,2,    194.9,    194.8,   2,    43.39,2,    33.73,2,     2.24,2,   2207.0,2,   2311.9,6
  740H20090203,  SR01,     5,  1,      4,      4,2,20090206,1016,-56.8800, -68.2300, 1339,    885.9,   3.8545,  34.2792,2,  34.2900,2,    209.0,    209.5,   2,    33.16,2,    32.92,2,     2.31,4,   2193.0,2,   2297.7,6
  740H20090203,  SR01,     5,  1,      5,      5,2,20090206,1016,-56.8800, -68.2300, 1339,    759.6,   4.2981,  34.1938,2,  34.1967,2,    247.5,    248.9,   2,    19.29,2,    28.12,2,     1.90,2,   2163.4,2,   -999.0,9
