EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  18HU20090517, AR07W,    11,  1, 351494,      4,2,20090519,1149, 53.0037, -50.4003, 3412,     80.3,   3.2990,  34.6529,2,-999.0000,9,    387.7,3,    331.4,2,     6.30,6,    10.32,6,     0.77,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.2939
  18HU20090517, AR07W,    11,  1, 351495,      5,2,20090519,1149, 53.0037, -50.4003, 3412,     60.6,   3.3484,  34.6199,2,-999.0000,9,    394.2,3,    338.0,2,     5.93,6,     8.94,6,     0.69,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.3446
  18HU20090517, AR07W,    11,  1, 351496,      6,2,20090519,1149, 53.0037, -50.4003, 3412,     50.2,   3.3023,  34.5663,2,-999.0000,9,    401.1,3,    350.3,2,     5.46,6,     8.16,6,     0.63,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.2991
  18HU20090517, AR07W,    11,  1, 351497,      7,2,20090519,1149, 53.0037, -50.4003, 3412,     40.5,   3.2884,  34.5581,2,-999.0000,9,    402.4,3,    344.8,2,     5.41,6,     8.06,6,     0.63,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.2859
  18HU20090517, AR07W,    11,  1, 351498,      8,2,20090519,1149, 53.0037, -50.4003, 3412,     29.7,   3.2195,  34.5357,2,-999.0000,9,    405.1,3,    350.3,2,     5.21,6,     7.72,6,     0.60,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.2177
  18HU20090517, AR07W,    11,  1, 351499,      9,2,20090519,1149, 53.0037, -50.4003, 3412,     30.2,   3.2150,  34.5338,2,-999.0000,9,    405.3,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.2131
  18HU20090517, AR07W,    11,  1, 351500,     10,2,20090519,1149, 53.0037, -50.4003, 3412,     20.8,   3.0746,  34.4693,2,-999.0000,9,    415.2,3,    358.5,2,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.0733
  18HU20090517, AR07W,    11,  1, 351501,     11,2,20090519,1149, 53.0037, -50.4003, 3412,      9.9,   3.0727,  34.4569,2,-999.0000,9,    418.4,3,    362.5,2,     4.28,6,     6.09,6,     0.49,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.0721
  18HU20090517, AR07W,    11,  1, 351502,     12,2,20090519,1149, 53.0037, -50.4003, 3412,      2.8,   3.1560,  34.4420,2,-999.0000,9,    419.1,3,    364.5,2,     4.27,6,     5.97,6,     0.48,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.1558
  18HU20090517, AR07W,    11,  1, 351503,     13,2,20090519,1149, 53.0037, -50.4003, 3412,      2.4,   3.1563,  34.4424,2,-999.0000,9,    418.8,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.1562
  18HU20090517, AR07W,    23,  1, 351504,      1,2,20090520,1144, 58.0197, -49.4933, 3447,    200.1,   3.5544,  34.8268,2,-999.0000,9,    369.2,3,    309.6,6,     7.54,6,    14.66,6,     0.97,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5411
  18HU20090517, AR07W,    23,  1, 351505,      2,2,20090520,1144, 58.0197, -49.4933, 3447,    150.2,   3.5424,  34.8241,2,-999.0000,9,    369.6,3,    308.5,2,     7.46,6,    14.49,6,     0.96,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5325
