BOTTLE,20161130CCHSIORJL
#Change EXPOCODE from 49MR99K05_2 to 49NZ199909_2
#Change SECT to SECT_ID
#Change DEPTH units from M to METERS
#Change THETA units from ITS-90 to DEG C
#Change SIG0 units from KG/CUM to KG/M^3
#BOTTLE,20070702JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR99K05_2_sum.txt Fri Mar 16 17:26:12 +0900 2007
#ORIGINAL_HYD_FILE: 49MR99K05_2_sea.txt Mon Jul 02 17:33:34 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,DEG C,KG/M^3
   49NZ199909_2,   P1H,    10,  2,     10,     10,2,19991001,0531, 41.8722, 146.3003, 6655,    599.5,2,   3.2862,2,  34.1856,1,  34.1891,2,  -999.00,9,    33.13,2,   119.26,3,    44.05,2,     0.00,2,     3.08,3,   2337.6,3,   2342.8,3,   -167.7,2,      2.6,   3.2463,  27.2152
   49NZ199909_2,   P1H,    10,  2,      9,      9,2,19991001,0531, 41.8722, 146.3003, 6655,    800.3,2,   3.0204,2,  34.3203,1,  34.3237,2,  -999.00,9,    32.82,2,   130.66,3,    44.04,2,     0.00,2,     3.09,3,   2357.6,3,   2359.2,3,   -193.5,2,      2.4,   2.9674,  27.3482
   49NZ199909_2,   P1H,    10,  2,      8,      8,2,19991001,0531, 41.8722, 146.3003, 6655,   1000.3,2,   2.7359,2,  34.4057,1,  34.4092,2,  -999.00,9,    35.69,2,   137.23,3,    44.01,2,     0.00,2,     3.06,3,   2372.2,3,   2366.3,3,   -209.9,2,      2.7,   2.6702,  27.4429
   49NZ199909_2,   P1H,    10,  2,      7,      7,2,19991001,0531, 41.8722, 146.3003, 6655,   1250.4,2,   2.4464,2,  34.4804,1,  34.4805,4,  -999.00,9,    43.03,2,   142.79,3,    43.72,3,     0.00,3,     3.05,3,   2391.8,3,   2370.2,3,   -227.1,2,      2.6,   2.3645,  27.5260
   49NZ199909_2,   P1H,    10,  2,      6,      6,2,19991001,0531, 41.8722, 146.3003, 6655,   1500.1,2,   2.2118,2,  34.5353,1,  34.5376,2,  -999.00,9,    54.63,2,   146.50,3,    43.18,2,     0.00,2,     2.99,3,   2394.5,3,   -999.0,9,   -232.5,2,      2.6,   2.1131,  27.5922
   49NZ199909_2,   P1H,    10,  2,      5,      5,2,19991001,0531, 41.8722, 146.3003, 6655,   1751.1,2,   2.0267,2,  34.5734,1,  34.5753,2,  -999.00,9,    68.62,2,   147.99,3,    42.60,2,     0.00,2,     2.93,3,   2402.7,3,   2367.4,3,   -237.1,2,      3.1,   1.9104,  27.6385
   49NZ199909_2,   P1H,    10,  2,      4,      4,2,19991001,0531, 41.8722, 146.3003, 6655,   2000.7,2,   1.8670,2,  34.6039,1,  34.6062,2,  -999.00,9,    84.79,2,   148.15,3,    41.60,2,     0.00,2,     2.85,3,   2402.7,3,   2361.8,3,   -241.0,2,      2.7,   1.7326,  27.6769
   49NZ199909_2,   P1H,    10,  2,      3,      3,2,19991001,0531, 41.8722, 146.3003, 6655,   2999.8,2,   1.5357,2,  34.6623,1,  34.6622,2,  -999.00,9,   130.63,2,   142.28,3,    38.54,2,     0.00,2,     2.61,3,   2408.8,3,   2334.7,3,   -233.6,2,      2.5,   1.3182,  27.7521
   49NZ199909_2,   P1H,    10,  2,      2,      2,2,19991001,0531, 41.8722, 146.3003, 6655,   4000.5,2,   1.4574,2,  34.6820,1,  34.6793,4,  -999.00,9,   151.96,2,   137.78,3,    37.03,3,     0.00,3,     2.49,3,   2409.7,3,   2320.4,3,   -219.4,2,      2.8,   1.1396,  27.7783
   49NZ199909_2,   P1H,    10,  2,      1,      1,2,19991001,0531, 41.8722, 146.3003, 6655,   6001.1,2,   1.6222,2,  34.6913,1,  34.6905,2,  -999.00,9,   176.73,4,   134.06,3,    36.17,2,     0.00,2,     2.44,3,   2404.3,3,   2307.9,3,   -208.6,2,      2.7,   1.0553,  27.7930
