EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,CTDXMISS,CTDXMISSCP,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
,,,,,,,,UTC,DEG,DEG,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,G/KG,,UMOL/KG,,UMOL/KG,,%TRANS,/METER,,MG/M^3,,MG/CUM,,UE/SQM/S,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,,/MILLE,,/MILLE,/MILLE,,/MILLE,MBQ/KG,,MBQ/KG,MBQ/KG,,MBQ/KG
  49NZ20130106,  S04I,    88,  2,     18, X12J18,2,20130112,2018,-61.6202, 107.4453, 4291,   1581.8,2,   0.9575,2,   0.95761,2,  34.7164,2,  34.7163,2,-999.0000,9,   205.09,2,   204.98,2,  100.047,  -0.0019,2,   -0.000,2,  -999.00,9,    0.000,2,   106.88,2,     0.15,    31.75,2,     0.04,     0.00,2,     0.01,     2.20,2,     0.01,    0.269,2,    0.124,2,    0.010,2,    0.122,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     17, X12J17,2,20130112,2018,-61.6202, 107.4453, 4291,   1831.6,2,   0.7776,2,   0.77767,2,  34.7068,2,  34.7065,2,-999.0000,9,   207.37,2,   207.26,2,  100.045,  -0.0018,2,   -0.000,2,  -999.00,9,    0.000,2,   111.91,2,     0.16,    32.08,2,     0.04,     0.00,2,     0.01,     2.23,2,     0.01,    0.297,2,    0.133,2,    0.012,2,    0.058,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     16, X12J16,2,20130112,2018,-61.6202, 107.4453, 4291,   2081.5,2,   0.6042,2,   0.60412,2,  34.6977,2,  34.6974,2,-999.0000,9,   210.29,2,   210.26,2,  100.062,  -0.0025,2,   -0.000,2,  -999.00,9,    0.000,2,   116.65,2,     0.16,    32.36,2,     0.05,     0.00,2,     0.01,     2.23,2,     0.01,    0.336,2,    0.158,2,    0.017,2,    0.075,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     15, X12J15,2,20130112,2018,-61.6202, 107.4453, 4291,   2329.5,2,   0.4430,2,   0.44291,2,  34.6903,2,  34.6901,2,-999.0000,9,   214.15,2,   214.22,2,  100.064,  -0.0026,2,   -0.000,2,  -999.00,9,    0.000,2,   120.30,2,     0.17,    32.50,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    0.422,2,    0.197,2,    0.021,2,    0.055,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     14, X12J14,2,20130112,2018,-61.6202, 107.4453, 4291,   2580.9,2,   0.2958,2,   0.29595,2,  34.6837,2,  34.6834,2,-999.0000,9,   218.48,2,   218.31,2,  100.050,  -0.0020,2,   -0.000,2,  -999.00,9,    0.000,2,   122.73,2,     0.17,    32.55,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    0.559,2,    0.268,2,    0.067,3,    0.084,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     13, X12J13,2,20130112,2018,-61.6202, 107.4453, 4291,   2828.8,2,   0.2387,2,   0.23888,2,  34.6810,2,  34.6804,2,-999.0000,9,   220.76,2,   220.56,2,  100.064,  -0.0026,2,   -0.000,2,  -999.00,9,    0.000,2,   123.96,2,     0.17,    32.57,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    0.650,2,    0.314,2,    0.036,2,    0.156,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     12, X12J12,2,20130112,2018,-61.6202, 107.4453, 4291,   3079.5,2,   0.1668,2,   0.16709,2,  34.6779,2,  34.6772,2,-999.0000,9,   223.60,2,   223.28,2,  100.081,  -0.0032,2,   -0.000,2,  -999.00,9,    0.000,2,   125.30,2,     0.17,    32.58,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    0.748,2,    0.367,2,    0.044,2,    0.242,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     11, X12J11,2,20130112,2018,-61.6202, 107.4453, 4291,   3331.2,2,   0.0770,2,   0.07724,2,  34.6730,2,  34.6723,2,-999.0000,9,   226.89,2,   226.88,2,   99.995,   0.0002,2,   -0.010,2,  -999.00,9,    0.000,2,   125.09,2,     0.17,    32.54,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    0.971,2,    0.473,2,    0.063,2,    0.276,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,     10, X12J10,2,20130112,2018,-61.6202, 107.4453, 4291,   3581.7,2,   0.0167,2,   0.01679,2,  34.6689,2,  34.6683,2,-999.0000,9,   229.74,2,   229.69,2,   99.976,   0.0010,2,   -0.000,2,  -999.00,9,    0.000,2,   125.35,2,     0.17,    32.45,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    1.153,2,    0.575,2,    0.083,2,    0.335,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,      9, X12J09,2,20130112,2018,-61.6202, 107.4453, 4291,   3830.3,2,  -0.0273,2,  -0.02719,2,  34.6654,2,  34.6649,2,-999.0000,9,   232.02,2,   232.07,2,   99.885,   0.0046,2,   -0.000,2,  -999.00,9,    0.000,2,   125.94,2,     0.17,    32.45,2,     0.05,     0.00,2,     0.01,     2.25,2,     0.01,    1.330,2,    0.676,2,    0.095,2,    0.371,2,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,      8, X12J08,2,20130112,2018,-61.6202, 107.4453, 4291,   4080.3,2,  -0.0623,2,  -0.06226,2,  34.6611,2,  34.6655,4,-999.0000,9,   234.30,2,   234.12,2,   99.916,   0.0034,2,   -0.010,2,  -999.00,9,    0.000,2,   124.83,2,     0.17,    32.40,2,     0.05,     0.00,2,     0.01,     2.24,2,     0.01,    1.539,6,    0.781,6,    0.119,6,    0.386,6,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,      7, X12J07,9,20130112,2018,-61.6202, 107.4453, 4291,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9, -999.000,-999.0000,9, -999.000,9,  -999.00,9, -999.000,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,      6, X12J06,9,20130112,2018,-61.6202, 107.4453, 4291,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9, -999.000,-999.0000,9, -999.000,9,  -999.00,9, -999.000,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,      5, X12J05,9,20130112,2018,-61.6202, 107.4453, 4291,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9, -999.000,-999.0000,9, -999.000,9,  -999.00,9, -999.000,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
  49NZ20130106,  S04I,    88,  2,      4, X12J04,9,20130112,2018,-61.6202, 107.4453, 4291,   -999.0,9,-999.0000,9,-999.00000,9,-999.0000,9,-999.0000,9,-999.0000,9,  -999.00,9,  -999.00,9, -999.000,-999.0000,9, -999.000,9,  -999.00,9, -999.000,9,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00,  -999.00,9,  -999.00, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,     -999,9, -999.000,9, -999.000,   -999.0,9,   -999.0, -999.000,9, -999.000, -999.000,9, -999.000
