BOTTLE,20130222PRINUNIVRMK
# 2/9/2012 Initialized README file  
# Data source: T.Tanhua 2/9/12; R.Steinfeldt 2/15/13 
# SHIP: Maria S. Merian 
# Cruise: MSM12_3 
# Region: NW Atlantic; Lab Sea and Irminger Sea. Similar area to A1W and AR07W 
# EXPOCODE: 06M220090714 
# DATES: 7/14 - 8/22/2009 
# Chief Scientist: M. Rhein 
# 89 stations with 24 place Rosette 
# Hydro: Who - ; Status -  final 
# 	Notes: 	Final salt and oxygen flag edits from R.Steinfeldt 2/15/13 
# 	Bottom depths approximated from global topography 
# Nuts: Who - F. Malien; Status - final 
# 	Notes: Not up to WOCE standards 
# 	Frozen, measured ashore 
# 	Silicate: probably about 10% too low 
# 	Nitrate - no systematic bias detected 
# 	Phosphate: no systematic bias detected 
# O2: Who - I.Stendardo; Status - final 
# 	Notes: 
# TCO2: Who - T.Tanhua; Status - final 
# 	Notes:  
# TA: Who - T.Tanhua; Status - final 
# 	Notes:  
# CFC: Who - M. Rhein; Status - no data yet 
# 	Notes:  SF6 also measured 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  06M220090714,  AR07,   659,  2,   2011,     11,2,20090716,1552, 61.1820, -32.4860, 2675,   1546.6,   3.6452,  34.9346,2,-999.0000,9,    273.3,2,    273.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2010,     10,2,20090716,1552, 61.1820, -32.4860, 2675,   1695.1,   3.5308,  34.9344,2,-999.0000,9,    274.4,2,    274.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2009,      9,2,20090716,1552, 61.1820, -32.4860, 2675,   1798.0,   3.4354,  34.9341,2,-999.0000,9,    275.0,2,    288.0,4,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2008,      8,2,20090716,1552, 61.1820, -32.4860, 2675,   1899.1,   3.3457,  34.9346,2,-999.0000,9,    275.6,2,    273.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2007,      7,2,20090716,1552, 61.1820, -32.4860, 2675,   1999.3,   3.2684,  34.9346,2,  34.9343,2,    275.9,2,    275.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2006,      6,2,20090716,1552, 61.1820, -32.4860, 2675,   2097.9,   3.2025,  34.9345,2,-999.0000,9,    276.1,2,    277.2,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2005,      5,2,20090716,1552, 61.1820, -32.4860, 2675,   2198.1,   3.1616,  34.9350,2,-999.0000,9,    276.0,2,    275.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2004,      4,2,20090716,1552, 61.1820, -32.4860, 2675,   2298.3,   3.1281,  34.9347,2,-999.0000,9,    276.3,2,    276.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2003,      3,2,20090716,1552, 61.1820, -32.4860, 2675,   2398.7,   3.0571,  34.9325,2,-999.0000,9,    276.4,2,    275.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2002,      2,2,20090716,1552, 61.1820, -32.4860, 2675,   2498.1,   3.0230,  34.9314,2,-999.0000,9,    276.9,2,    276.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   659,  2,   2001,      1,2,20090716,1552, 61.1820, -32.4860, 2675,   2665.1,   2.9398,  34.9283,2,  34.9305,2,    277.7,2,    277.8,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3022,     22,2,20090716,2218, 60.7000, -34.2420, 3047,     13.9,  10.0150,  34.9827,2,-999.0000,9,    297.1,2,    296.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3021,     21,2,20090716,2218, 60.7000, -34.2420, 3047,    212.8,   5.9150,  35.0190,2,-999.0000,9,    277.2,2,    273.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3020,     20,2,20090716,2218, 60.7000, -34.2420, 3047,    453.0,   4.8173,  34.9745,2,-999.0000,9,    267.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3019,     19,2,20090716,2218, 60.7000, -34.2420, 3047,    582.5,   4.3206,  34.9366,2,  34.9362,2,    289.8,2,    289.8,6,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3018,     18,2,20090716,2218, 60.7000, -34.2420, 3047,    698.4,   4.1700,  34.9263,2,-999.0000,9,    295.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3017,     17,2,20090716,2218, 60.7000, -34.2420, 3047,    797.1,   4.0023,  34.9085,2,-999.0000,9,    295.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3016,     16,2,20090716,2218, 60.7000, -34.2420, 3047,    898.5,   3.9810,  34.9098,2,  34.8918,4,    297.8,2,    297.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3015,     15,2,20090716,2218, 60.7000, -34.2420, 3047,    999.1,   3.8770,  34.8975,2,-999.0000,9,    295.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3014,     14,2,20090716,2218, 60.7000, -34.2420, 3047,   1098.2,   3.6832,  34.8796,2,-999.0000,9,    285.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3013,     13,2,20090716,2218, 60.7000, -34.2420, 3047,   1223.9,   3.6885,  34.8942,2,-999.0000,9,    281.2,2,    282.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3012,     12,2,20090716,2218, 60.7000, -34.2420, 3047,   1305.8,   3.7223,  34.9094,2,-999.0000,9,    277.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3011,     11,2,20090716,2218, 60.7000, -34.2420, 3047,   1447.2,   3.6891,  34.9230,2,-999.0000,9,    274.3,2,    273.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3010,     10,2,20090716,2218, 60.7000, -34.2420, 3047,   1598.1,   3.6176,  34.9324,2,-999.0000,9,    273.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3009,      9,2,20090716,2218, 60.7000, -34.2420, 3047,   1743.8,   3.4988,  34.9298,2,-999.0000,9,    274.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3008,      8,2,20090716,2218, 60.7000, -34.2420, 3047,   1903.8,   3.4101,  34.9334,2,  34.9386,2,    275.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3007,      7,2,20090716,2218, 60.7000, -34.2420, 3047,   1999.9,   3.3019,  34.9250,2,-999.0000,9,    276.8,2,    277.2,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3006,      6,2,20090716,2218, 60.7000, -34.2420, 3047,   2205.5,   3.2042,  34.9323,2,-999.0000,9,    276.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3005,      5,2,20090716,2218, 60.7000, -34.2420, 3047,   2498.0,   3.0269,  34.9338,2,-999.0000,9,    276.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3004,      4,2,20090716,2218, 60.7000, -34.2420, 3047,   2598.1,   2.9832,  34.9328,2,-999.0000,9,    276.8,2,    276.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3003,      3,2,20090716,2218, 60.7000, -34.2420, 3047,   2697.5,   2.9242,  34.9301,2,-999.0000,9,    277.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3002,      2,2,20090716,2218, 60.7000, -34.2420, 3047,   2798.5,   2.8400,  34.9276,2,-999.0000,9,    278.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   660,  3,   3001,      1,2,20090716,2218, 60.7000, -34.2420, 3047,   3037.0,   1.9490,  34.8993,2,  34.9016,2,    292.8,2,    294.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   661,  4,   4001,      1,2,20090717,0815, 59.8750, -37.1930, 3159,     17.9,   9.6821,  34.9268,2,-999.0000,9,    295.5,2,    295.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
  06M220090714,  AR07,   661,  4,   4022,     22,2,20090717,0815, 59.8750, -37.1930, 3159,     20.2,   9.5101,  34.9050,2,-999.0000,9,    297.5,2,    297.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9
