EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
  18HU20100513, AR07W,     7,  1, 369134,     11,2,20100514,1147, 50.6273, -52.6372,  233,      2.0,   1.3772,  32.7882,2,-999.0000,9,    357.1,2,   -999.0,9,     0.43,6,     0.48,6,     0.45,6,     1.03,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   1.3771
  18HU20100513, AR07W,    13,  1, 369135,      1,2,20100515,1206, 54.7705, -52.4395, 1807,    200.0,   3.9242,  34.8674,2,-999.0000,9,    296.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.9103
  18HU20100513, AR07W,    13,  1, 369136,      2,2,20100515,1206, 54.7705, -52.4395, 1807,    200.0,   3.9242,  34.8674,2,-999.0000,9,    296.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.9103
  18HU20100513, AR07W,    13,  1, 369137,      3,2,20100515,1206, 54.7705, -52.4395, 1807,    200.0,   3.9242,  34.8674,2,-999.0000,9,    296.4,2,    157.7,4,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.9103
  18HU20100513, AR07W,    13,  1, 369138,      4,2,20100515,1206, 54.7705, -52.4395, 1807,    200.0,   3.9242,  34.8674,2,-999.0000,9,    296.4,2,    154.1,4,     7.63,6,    14.83,6,     1.05,6,     0.37,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.9103
  18HU20100513, AR07W,    13,  1, 369139,      5,2,20100515,1206, 54.7705, -52.4395, 1807,    149.0,   3.8855,  34.8556,2,-999.0000,9,    296.9,2,    202.2,4,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.8752
  18HU20100513, AR07W,    13,  1, 369140,      6,2,20100515,1206, 54.7705, -52.4395, 1807,    149.0,   3.8855,  34.8556,2,-999.0000,9,    296.9,2,    206.1,4,     7.55,6,    14.67,6,     1.04,6,     0.29,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.8752
  18HU20100513, AR07W,    13,  1, 369141,      7,2,20100515,1206, 54.7705, -52.4395, 1807,    100.0,   3.8405,  34.8317,2,-999.0000,9,    298.6,2,    163.7,4,     7.67,6,    14.57,6,     1.04,6,     0.34,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.8337
  18HU20100513, AR07W,    13,  1, 369142,      8,2,20100515,1206, 54.7705, -52.4395, 1807,     79.0,   3.7653,  34.7995,2,-999.0000,9,    300.6,2,    147.6,4,     7.70,6,    14.21,6,     1.03,6,     0.28,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.7600
  18HU20100513, AR07W,    13,  1, 369143,      9,2,20100515,1206, 54.7705, -52.4395, 1807,     60.0,   3.6793,  34.7510,2,-999.0000,9,    307.7,2,    312.5,6,     7.60,6,    13.61,6,     1.01,6,     0.35,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.6753
  18HU20100513, AR07W,    13,  1, 369144,     10,2,20100515,1206, 54.7705, -52.4395, 1807,     50.0,   3.6657,  34.7303,2,-999.0000,9,    310.9,2,    312.7,6,     7.42,6,    13.33,6,     0.99,6,     0.65,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.6624
  18HU20100513, AR07W,    13,  1, 369145,     11,2,20100515,1206, 54.7705, -52.4395, 1807,     40.0,   3.5778,  34.6344,2,-999.0000,9,    314.3,2,    315.6,6,     7.10,6,    12.47,6,     0.97,6,     0.67,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.5752
  18HU20100513, AR07W,    13,  1, 369146,     12,2,20100515,1206, 54.7705, -52.4395, 1807,     29.0,   3.5255,  34.5705,2,-999.0000,9,    318.8,2,    319.5,6,     6.45,6,    11.07,6,     0.91,6,     0.94,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.5236
  18HU20100513, AR07W,    13,  1, 369147,     13,2,20100515,1206, 54.7705, -52.4395, 1807,     20.0,   3.1780,  34.1976,2,-999.0000,9,    346.1,2,    355.2,6,     3.18,6,     5.71,6,     0.60,6,     0.71,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   3.1768
  18HU20100513, AR07W,    13,  1, 369148,     14,2,20100515,1206, 54.7705, -52.4395, 1807,     11.0,   2.6495,  33.8037,2,-999.0000,9,    372.7,2,    379.6,6,     1.25,6,     1.84,6,     0.33,6,     0.83,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   2.6489
  18HU20100513, AR07W,    13,  1, 369149,     15,2,20100515,1206, 54.7705, -52.4395, 1807,      2.0,   2.6322,  33.7930,2,-999.0000,9,    379.8,2,    375.8,6,     1.15,6,     1.66,6,     0.34,6,     0.58,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,   2.6321
  18HU20100513, AR07W,    16,  1, 369150,      1,2,20100517,1006, 57.8012, -51.3410, 3548,   3671.0,   1.6644,  34.8884,2,  34.8886,2,    299.5,2,    215.2,4,     9.92,6,    13.89,6,     1.02,6,     0.32,6,    4.193,2,    2.036,2,    0.318,2,    4.644,2,    5.175,2,   2164.5,2,   2311.6,2,   7.9761,2,     1.66,   1.3750
