,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,XMISS,XMISS_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
27,  09AR20120105,  I09S,2.0,1.0,21.0,21.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,      3.8,  -1.0794,  34.0456,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    73.47,2.0,   18.887,2.0,   52.460,2.0
28,  09AR20120105,  I09S,2.0,1.0,20.0,20.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,      3.8,  -1.0788,  34.0453,2.0,  34.0460,2.0,   -999.0,5.0,   -999.0,9.0,    66.60,2.0,    17.89,2.0,     1.43,2.0,    74.56,2.0,   19.677,2.0,   54.020,2.0
29,  09AR20120105,  I09S,2.0,1.0,19.0,19.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,     19.2,  -1.0870,  34.0522,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    73.83,2.0,   28.964,2.0,    0.863,2.0
30,  09AR20120105,  I09S,2.0,1.0,18.0,18.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,     39.9,  -1.0845,  34.0768,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    73.67,2.0,   26.739,2.0,    0.000,2.0
31,  09AR20120105,  I09S,2.0,1.0,17.0,17.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,     59.4,  -1.1690,  34.1663,2.0,  34.1848,2.0,   -999.0,5.0,   -999.0,9.0,    67.70,2.0,    21.40,2.0,     1.65,2.0,    79.53,2.0,   19.455,2.0,    0.000,2.0
32,  09AR20120105,  I09S,2.0,1.0,16.0,16.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,     59.3,  -1.1671,  34.1624,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    79.12,2.0,   22.783,2.0,    0.000,2.0
33,  09AR20120105,  I09S,2.0,1.0,15.0,15.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,     80.2,  -1.3623,  34.2727,2.0,-999.0000,9.0,   -999.0,5.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    87.15,2.0,    9.688,2.0,    0.000,2.0
34,  09AR20120105,  I09S,2.0,1.0,14.0,14.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    104.9,  -1.6751,  34.3739,2.0,-999.0000,9.0,    313.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.76,2.0,    2.629,2.0,    0.000,2.0
35,  09AR20120105,  I09S,2.0,1.0,13.0,13.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    104.8,  -1.6761,  34.3751,2.0,  34.3839,2.0,    313.8,2.0,    313.8,2.0,    71.90,2.0,    29.29,2.0,     2.05,2.0,    95.00,2.0,    3.766,2.0,    0.000,2.0
36,  09AR20120105,  I09S,2.0,1.0,12.0,12.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    150.7,  -1.8001,  34.4417,2.0,-999.0000,9.0,    304.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.59,2.0,    0.005,2.0,    0.000,2.0
37,  09AR20120105,  I09S,2.0,1.0,11.0,11.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    150.7,  -1.7994,  34.4416,2.0,-999.0000,9.0,    304.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.58,2.0,   -0.010,2.0,    0.000,2.0
38,  09AR20120105,  I09S,2.0,1.0,10.0,10.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    150.7,  -1.7987,  34.4415,2.0,-999.0000,9.0,    304.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.58,2.0,   -0.088,2.0,    0.000,2.0
39,  09AR20120105,  I09S,2.0,1.0,9.0,9.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    150.6,  -1.8019,  34.4419,2.0,  34.4553,4.0,    304.1,2.0,    305.6,2.0,    75.20,2.0,    30.34,2.0,     2.08,2.0,    96.58,2.0,   -0.093,2.0,    0.000,2.0
40,  09AR20120105,  I09S,2.0,1.0,8.0,8.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    201.3,  -1.8536,  34.4803,2.0,  34.4818,2.0,    306.8,2.0,    307.1,2.0,    75.20,2.0,    30.32,2.0,     2.09,2.0,    96.57,2.0,   -0.016,2.0,    0.000,2.0
41,  09AR20120105,  I09S,2.0,1.0,7.0,7.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    301.5,  -2.0009,  34.5064,2.0,-999.0000,9.0,    309.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.56,2.0,   -0.176,2.0,    0.000,2.0
42,  09AR20120105,  I09S,2.0,1.0,6.0,6.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    301.5,  -2.0011,  34.5063,2.0,-999.0000,9.0,    309.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.57,2.0,   -0.172,2.0,    0.000,2.0
43,  09AR20120105,  I09S,2.0,1.0,5.0,5.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    301.5,  -2.0041,  34.5063,2.0,-999.0000,9.0,    309.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.56,2.0,   -0.166,2.0,    0.000,2.0
44,  09AR20120105,  I09S,2.0,1.0,4.0,4.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    301.4,  -2.0018,  34.5064,2.0,  34.5072,2.0,    309.6,2.0,    310.9,2.0,    75.90,2.0,    30.38,2.0,     2.10,2.0,    96.57,2.0,   -0.141,2.0,    0.000,2.0
45,  09AR20120105,  I09S,2.0,1.0,3.0,3.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    448.6,  -1.9869,  34.5345,2.0,  34.5321,2.0,    312.0,2.0,    311.6,2.0,    76.00,2.0,    30.31,2.0,     2.10,2.0,    96.58,2.0,   -0.182,2.0,    0.000,2.0
46,  09AR20120105,  I09S,2.0,1.0,2.0,2.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    600.0,  -1.9009,  34.5528,2.0,  34.5529,2.0,    312.4,2.0,    312.0,2.0,    75.30,2.0,    30.23,2.0,     2.09,2.0,    96.59,2.0,   -0.177,2.0,    0.000,2.0
47,  09AR20120105,  I09S,2.0,1.0,1.0,1.0,2.0,20120110.0,1846.0,-66.9103,145.384,  708,    711.5,  -1.8865,  34.5726,2.0,  34.5718,2.0,    314.2,2.0,    313.4,2.0,    75.90,2.0,    30.10,2.0,     2.09,2.0,    96.69,2.0,   -0.158,2.0,    0.000,2.0
48,  09AR20120105,  I09S,3.0,1.0,24.0,24.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,      4.8,  -0.9209,  33.9829,2.0,-999.0000,9.0,    401.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    63.43,2.0,   30.245,2.0,  160.300,2.0
49,  09AR20120105,  I09S,3.0,1.0,23.0,23.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,      4.8,  -0.9208,  33.9830,2.0,-999.0000,9.0,    401.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    63.97,2.0,   31.903,2.0,  156.700,2.0
50,  09AR20120105,  I09S,3.0,1.0,22.0,22.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,      4.8,  -0.9200,  33.9830,2.0,-999.0000,9.0,    401.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    62.87,2.0,   30.126,2.0,  154.300,2.0
51,  09AR20120105,  I09S,3.0,1.0,21.0,21.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,      4.8,  -0.9192,  33.9829,2.0,  33.9831,2.0,    401.6,2.0,    401.2,2.0,    68.30,2.0,    14.58,2.0,     1.27,2.0,    62.91,2.0,   30.001,2.0,  154.900,2.0
52,  09AR20120105,  I09S,3.0,1.0,20.0,20.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,     19.7,  -0.9565,  33.9833,2.0,-999.0000,9.0,    401.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    63.63,2.0,   33.982,2.0,    1.814,2.0
53,  09AR20120105,  I09S,3.0,1.0,19.0,19.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,     29.4,  -0.9876,  33.9838,2.0,-999.0000,9.0,    400.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    64.53,2.0,   33.982,2.0,    0.134,2.0
54,  09AR20120105,  I09S,3.0,1.0,18.0,18.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,     45.1,  -1.1484,  34.0441,2.0,-999.0000,9.0,    395.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    66.44,2.0,   33.390,2.0,    0.000,2.0
55,  09AR20120105,  I09S,3.0,1.0,17.0,17.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,     45.1,  -1.1560,  34.0487,2.0,  34.0237,2.0,    395.0,2.0,    389.9,2.0,    69.60,2.0,    16.70,2.0,     1.42,2.0,    67.24,2.0,   32.380,2.0,    0.000,2.0
56,  09AR20120105,  I09S,3.0,1.0,16.0,16.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,     64.9,  -1.6698,  34.3415,2.0,-999.0000,9.0,    343.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    88.71,2.0,    7.048,2.0,    0.000,2.0
57,  09AR20120105,  I09S,3.0,1.0,15.0,15.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,     74.4,  -1.7390,  34.3730,2.0,-999.0000,9.0,    323.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    94.88,2.0,    2.874,2.0,    0.000,2.0
58,  09AR20120105,  I09S,3.0,1.0,14.0,14.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    100.6,  -1.7594,  34.3869,2.0,-999.0000,9.0,    311.7,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.62,2.0,    0.505,2.0,    0.000,2.0
59,  09AR20120105,  I09S,3.0,1.0,13.0,13.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    100.5,  -1.7594,  34.3871,2.0,  34.3882,2.0,    311.7,2.0,    309.9,2.0,    73.90,2.0,    30.12,2.0,     2.07,2.0,    96.62,2.0,    0.601,2.0,    0.000,2.0
60,  09AR20120105,  I09S,3.0,1.0,12.0,12.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    149.8,  -1.7472,  34.4033,2.0,-999.0000,9.0,    305.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.59,2.0,   -0.045,2.0,    0.000,2.0
61,  09AR20120105,  I09S,3.0,1.0,11.0,11.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    149.9,  -1.7468,  34.4034,2.0,-999.0000,9.0,    305.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.60,2.0,   -0.095,2.0,    0.000,2.0
62,  09AR20120105,  I09S,3.0,1.0,10.0,10.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    149.8,  -1.7467,  34.4033,2.0,-999.0000,9.0,    305.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    96.60,2.0,   -0.094,2.0,    0.000,2.0
63,  09AR20120105,  I09S,3.0,1.0,9.0,9.0,2.0,20120111.0,45.0,-67.2218,145.855,  709,    149.9,  -1.7469,  34.4030,2.0,  34.4025,2.0,    305.8,2.0,    311.0,2.0,    75.20,2.0,    30.35,2.0,     2.09,2.0,    96.60,2.0,   -0.107,2.0,    0.000,2.0
