,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,THETA
50,  06AQ20080210,   A12,104.0,2.0,6.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   2535.2,   1.6180,  34.7530,2.0,    204.0,2.0,    89.11,2.0,    29.95,2.0,     0.02,2.0,     2.06,2.0, -999.000,9.0, -999.000,9.0,   2247.5,2.0,   2366.0,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   1.4413
51,  06AQ20080210,   A12,104.0,2.0,7.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   2023.9,   2.2000,  34.7780,2.0,    201.7,2.0,    72.03,2.0,    28.71,2.0,     0.02,2.0,     1.96,2.0, -999.000,9.0, -999.000,9.0,   2233.3,2.0,   2353.6,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.0580
52,  06AQ20080210,   A12,104.0,2.0,8.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   1769.8,   2.3500,  34.7600,2.0,    194.7,2.0,    70.66,2.0,    29.48,2.0,     0.02,2.0,     2.02,2.0, -999.000,9.0, -999.000,9.0,   2238.8,2.0,   2352.5,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.2273
53,  06AQ20080210,   A12,104.0,2.0,9.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   1518.4,   2.4870,  34.7280,2.0,    187.9,2.0,    68.71,2.0,    30.27,2.0,     0.02,2.0,     2.08,2.0, -999.000,9.0, -999.000,9.0,   2241.2,2.0,   2350.1,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.3832
54,  06AQ20080210,   A12,104.0,2.0,10.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   1266.4,   2.4650,  34.6490,2.0,    179.2,2.0,    70.86,2.0,    32.44,2.0,     0.02,2.0,     2.24,2.0, -999.000,9.0, -999.000,9.0,   2246.9,2.0,   2349.2,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.3813
55,  06AQ20080210,   A12,104.0,2.0,11.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,   1009.2,   2.5730,  34.5470,2.0,    179.5,2.0,    65.11,2.0,    33.74,2.0,     0.02,2.0,     2.32,2.0, -999.000,9.0, -999.000,9.0,   2246.7,2.0,   2338.5,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.5077
56,  06AQ20080210,   A12,104.0,2.0,12.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,    757.9,   2.6860,  34.4110,2.0,    194.7,2.0,    54.48,2.0,    33.88,2.0,     0.02,2.0,     2.33,2.0, -999.000,9.0, -999.000,9.0,   2235.9,2.0,   2328.4,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.6380
57,  06AQ20080210,   A12,104.0,2.0,13.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,    506.6,   2.8010,  34.2390,2.0,    232.4,2.0,    36.13,2.0,    31.94,2.0,     0.02,2.0,     2.19,2.0, -999.000,9.0, -999.000,9.0,   -999.0,4.0,   2307.6,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.7696
58,  06AQ20080210,   A12,104.0,2.0,14.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,    403.1,   2.8750,  34.1680,2.0,    249.3,2.0,    28.12,2.0,    30.53,2.0,     0.02,2.0,     2.09,2.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.8502
59,  06AQ20080210,   A12,104.0,2.0,15.0,2.0,20080216.0,155.0,-47.6565,4.2738, 4547,    402.3,   2.8790,  34.1640,2.0,    249.4,2.0,    27.54,2.0,    30.41,2.0,     0.02,2.0,     2.08,2.0, -999.000,9.0, -999.000,9.0,   2186.9,2.0,   2296.7,3.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.8542
