,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
56,  09AR20030103,   UNK,4.0,1.0,16.0,16.0,4.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    104.6,  -1.3100,  34.3337,2.0,  34.3431,4.0,   -999.0,5.0, -1.3128,    316.9,2.0,    61.60,2.0,    26.82,2.0,     1.90,2.0
57,  09AR20030103,   UNK,4.0,1.0,15.0,15.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    119.3,  -1.0738,  34.3928,2.0,  34.3976,2.0,    303.5,2.0, -1.0772,    303.3,2.0,    65.30,2.0,    28.23,2.0,     1.96,2.0
58,  09AR20030103,   UNK,4.0,1.0,13.0,13.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    134.7,  -1.1991,  34.4048,2.0,-999.0000,9.0,    299.9,2.0, -1.2028,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
59,  09AR20030103,   UNK,4.0,1.0,14.0,14.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    134.8,  -1.2118,  34.4051,2.0,  34.4036,2.0,    299.9,2.0, -1.2155,    299.6,2.0,    65.90,2.0,    28.77,2.0,     1.98,2.0
60,  09AR20030103,   UNK,4.0,1.0,12.0,12.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    134.8,  -1.1890,  34.4044,2.0,-999.0000,9.0,    299.9,2.0, -1.1928,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
61,  09AR20030103,   UNK,4.0,1.0,11.0,11.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    150.1,  -1.1002,  34.4203,2.0,  34.4248,2.0,    294.4,2.0, -1.1045,    293.5,2.0,    67.30,2.0,    28.30,2.0,     1.99,2.0
62,  09AR20030103,   UNK,4.0,1.0,10.0,10.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    169.2,  -1.0202,  34.4419,2.0,  34.4395,2.0,    288.9,2.0, -1.0251,    291.9,2.0,    68.00,2.0,    28.56,2.0,     1.98,2.0
63,  09AR20030103,   UNK,4.0,1.0,9.0,9.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    179.7,  -1.0455,  34.4481,2.0,  34.4487,2.0,    290.6,2.0, -1.0507,    291.8,2.0,    68.20,2.0,    28.84,2.0,     2.02,2.0
64,  09AR20030103,   UNK,4.0,1.0,8.0,8.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    200.1,  -1.5381,  34.4434,2.0,  34.4423,2.0,    297.7,2.0, -1.5431,    301.9,2.0,    66.10,2.0,    29.57,2.0,     2.00,2.0
65,  09AR20030103,   UNK,4.0,1.0,7.0,7.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    221.2,  -1.6721,  34.4422,2.0,  34.4411,2.0,    300.9,2.0, -1.6775,    303.9,2.0,    65.00,2.0,    29.01,2.0,     2.02,2.0
66,  09AR20030103,   UNK,4.0,1.0,6.0,6.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    238.8,  -1.7167,  34.4489,2.0,  34.4491,2.0,    302.5,2.0, -1.7224,    303.1,2.0,    65.00,2.0,    30.00,2.0,     2.02,2.0
67,  09AR20030103,   UNK,4.0,1.0,5.0,5.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    257.3,  -1.7457,  34.4520,2.0,  34.4519,2.0,    303.2,2.0, -1.7518,    303.7,2.0,    65.30,2.0,    29.87,2.0,     1.98,2.0
68,  09AR20030103,   UNK,4.0,1.0,4.0,4.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    280.0,  -1.7532,  34.4602,2.0,  34.4595,2.0,    303.1,2.0, -1.7599,    303.0,2.0,    65.10,2.0,    29.80,2.0,     1.97,2.0
69,  09AR20030103,   UNK,4.0,1.0,1.0,1.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    311.1,  -1.7089,  34.4658,2.0,-999.0000,9.0,    302.7,2.0, -1.7165,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
70,  09AR20030103,   UNK,4.0,1.0,2.0,2.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    311.9,  -1.7261,  34.4645,2.0,-999.0000,9.0,    302.7,2.0, -1.7337,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
71,  09AR20030103,   UNK,4.0,1.0,3.0,3.0,2.0,20030115.0,1751.0,-66.9177,64.4955,336.0,-999.0,    312.1,  -1.7149,  34.4646,2.0,  34.4636,2.0,   -999.0,5.0, -1.7225,    303.0,2.0,    65.80,2.0,    29.08,2.0,     2.02,2.0
72,  09AR20030103,   UNK,5.0,1.0,24.0,24.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,      5.8,  -0.0523,  33.2512,2.0,  33.2548,2.0,    362.2,3.0, -0.0525,    358.8,2.0,    43.00,2.0,    23.67,3.0,     1.29,2.0
73,  09AR20030103,   UNK,5.0,1.0,23.0,23.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,     52.0,  -1.2317,  34.0870,2.0,  34.0901,2.0,    330.2,2.0, -1.2332,    335.8,2.0,    54.30,2.0,    26.18,3.0,     1.80,2.0
74,  09AR20030103,   UNK,5.0,1.0,22.0,22.0,2.0,20030115.0,2135.0,-66.7092,64.4725,2221.0,-999.0,    100.9,  -1.5395,  34.2489,2.0,  34.2456,2.0,    300.4,2.0, -1.5421,    294.8,2.0,    61.10,2.0,    29.71,3.0,     2.01,2.0
