,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
30,  29HE20020304,   A17,2.0,2.0,7.0,20020307.0,-45.234,-49.501, 5545,   1799.0,   2.7610,  34.7310,2.0,    193.4,2.0,    69.15,2.0,    29.60,2.0,     0.05,2.0,     1.98,2.0,   2335.4,2.0,7.6083,    25.00,2.0,   2.6303
31,  29HE20020304,   A17,2.0,2.0,8.0,20020307.0,-45.234,-49.501, 5545,   1599.0,   2.6840,  34.6520,2.0,    184.5,2.0,    70.62,2.0,    31.59,2.0,     0.09,2.0,     2.06,2.0,   2333.6,2.0,7.5803,    25.00,2.0,   2.5715
32,  29HE20020304,   A17,2.0,2.0,9.0,20020307.0,-45.234,-49.501, 5545,   1401.0,   2.6800,  34.5750,2.0,    181.8,2.0,    72.83,2.0,    31.79,2.0,     0.10,2.0,     2.20,2.0,   2330.3,2.0,7.5664,    25.00,2.0,   2.5838
33,  29HE20020304,   A17,2.0,2.0,10.0,20020307.0,-45.234,-49.501, 5545,   1202.0,   2.7350,  34.4720,2.0,    184.4,2.0,    66.93,2.0,    34.11,2.0,     0.11,2.0,     2.21,2.0,   2323.2,2.0,7.5654,    25.00,2.0,   2.6540
34,  29HE20020304,   A17,2.0,2.0,11.0,20020307.0,-45.234,-49.501, 5545,    999.0,   2.8850,  34.3700,2.0,    201.4,2.0,    57.40,2.0,    34.47,2.0,     0.09,2.0,     2.18,2.0,   2309.4,2.0,7.5774,    25.00,2.0,   2.8183
35,  29HE20020304,   A17,2.0,2.0,12.0,20020307.0,-45.234,-49.501, 5545,    801.0,   3.1530,  34.2570,2.0,    228.7,2.0,    41.36,2.0,    34.07,2.0,     0.10,2.0,     2.06,2.0,   2297.1,2.0,7.6124,    25.00,2.0,   3.0992
36,  29HE20020304,   A17,2.0,2.0,13.0,20020307.0,-45.234,-49.501, 5545,    600.0,   3.6010,  34.1810,2.0,    255.2,2.0,    24.17,2.0,    32.56,2.0,     0.04,2.0,     1.87,2.0,   2281.9,2.0,7.6544,    25.00,2.0,   3.5596
37,  29HE20020304,   A17,2.0,2.0,14.0,20020307.0,-45.234,-49.501, 5545,    498.0,   3.8980,  34.1630,2.0,    264.2,2.0,    15.97,2.0,    30.33,2.0,     0.06,2.0,     1.80,2.0,   2279.4,2.0,7.6714,    25.00,2.0,   3.8629
38,  29HE20020304,   A17,2.0,2.0,15.0,20020307.0,-45.234,-49.501, 5545,    400.0,   4.3190,  34.1710,2.0,    263.4,2.0,    13.27,2.0,    29.34,2.0,     0.02,2.0,     1.77,2.0,   2278.2,2.0,7.6804,    25.00,2.0,   4.2898
39,  29HE20020304,   A17,2.0,2.0,16.0,20020307.0,-45.234,-49.501, 5545,    301.0,   5.4160,  34.2180,2.0,    260.7,2.0,     9.69,2.0,    28.62,2.0,     0.04,2.0,     1.67,2.0,   2276.6,2.0,7.6914,    25.00,2.0,   5.3916
40,  29HE20020304,   A17,2.0,2.0,17.0,20020307.0,-45.234,-49.501, 5545,    201.0,   6.7380,  34.3500,2.0,    256.0,2.0,     5.24,2.0,    23.59,2.0,     0.06,2.0,     1.39,2.0,   2279.7,2.0,7.7374,    25.00,2.0,   6.7198
41,  29HE20020304,   A17,2.0,2.0,18.0,20020307.0,-45.234,-49.501, 5545,    151.0,   7.6130,  34.4190,2.0,    256.8,2.0,     4.75,2.0,    17.23,2.0,     0.04,2.0,     1.37,2.0,   2282.9,2.0,7.7634,    25.00,2.0,   7.5983
42,  29HE20020304,   A17,2.0,2.0,19.0,20020307.0,-45.234,-49.501, 5545,    123.0,   8.3180,  34.4690,2.0,    256.8,2.0,     3.36,2.0,    18.20,2.0,     0.05,2.0,     1.12,2.0,   2285.1,2.0,7.7824,    25.00,2.0,   8.3054
43,  29HE20020304,   A17,2.0,2.0,20.0,20020307.0,-45.234,-49.501, 5545,    101.0,   8.8770,  34.5380,2.0,    256.2,2.0,     2.97,2.0,    15.60,2.0,     0.05,2.0,     1.05,2.0,   2289.9,2.0,7.7964,    25.00,2.0,   8.8662
44,  29HE20020304,   A17,2.0,2.0,21.0,20020307.0,-45.234,-49.501, 5545,     75.0,  10.1090,  34.6410,2.0,    251.5,2.0,     3.42,2.0,    12.28,2.0,     0.09,2.0,     0.92,2.0,   2297.3,2.0,7.8823,    25.00,2.0,  10.1003
45,  29HE20020304,   A17,2.0,2.0,22.0,20020307.0,-45.234,-49.501, 5545,     48.0,  15.0660,  34.5460,2.0,    251.3,2.0,     1.78,2.0,     6.55,2.0,     0.17,2.0,     0.68,2.0,   2293.0,2.0,7.9794,    25.00,2.0,  15.0588
46,  29HE20020304,   A17,2.0,2.0,23.0,20020307.0,-45.234,-49.501, 5545,     27.0,  15.3600,  34.5840,2.0,    251.3,2.0,     0.63,2.0,     1.46,2.0,     0.08,2.0,     0.24,2.0,   2299.8,2.0,7.9824,    25.00,2.0,  15.3559
47,  29HE20020304,   A17,2.0,2.0,24.0,20020307.0,-45.234,-49.501, 5545,      8.0,  15.5340,  34.5840,2.0,    251.3,2.0,     0.00,2.0,     0.00,2.0,     0.00,2.0,     0.00,2.0,   2299.4,2.0,7.9824,    25.00,2.0,  15.5328
