,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
25,09AR20011029, SR03,8.0,1.0,23.0,23.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,      6.4,  13.2590,  35.3270,4.0,  35.3300,2.0,    281.8,3.0,    258.1,2.0,     2.00,2.0,     4.58,2.0,     4.58,     0.34,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2610,2.0
26,09AR20011029, SR03,8.0,1.0,22.0,22.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     15.4,  13.2640,  35.3290,4.0, -999.0000,9.0,    260.9,3.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.163,3.0,    1.825,3.0,    0.980,4.0,   2076.8,2.0,   2319.9,2.0,  13.2650,9.0
27,09AR20011029, SR03,8.0,1.0,21.0,21.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     15.7,  13.2630,  35.3290,2.0,  35.3310,2.0,    260.9,3.0,    257.6,2.0,     2.00,2.0,     4.58,2.0,     4.58,     0.33,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2640,2.0
28,09AR20011029, SR03,8.0,1.0,19.0,19.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     30.7,  13.2570,  35.3280,4.0,  35.3300,2.0,    256.1,2.0,    257.9,2.0,     2.00,2.0,     4.61,2.0,     4.61,     0.33,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2077.1,2.0,   2320.5,2.0,  13.2560,2.0
29,09AR20011029, SR03,8.0,1.0,20.0,20.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     30.9,  13.2570,  35.3280,2.0, -999.0000,9.0,    256.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.187,3.0,    1.862,3.0,    0.820,4.0,   -999.0,9.0,   -999.0,9.0,  13.2560,9.0
30,09AR20011029, SR03,8.0,1.0,18.0,718.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     47.2,  13.2540,  35.3280,3.0, -999.0000,9.0,    255.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.167,3.0,    1.839,3.0,    0.960,4.0,   2077.4,2.0,   -999.0,9.0,  13.2510,9.0
31,09AR20011029, SR03,8.0,1.0,17.0,17.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     47.2,  13.2560,  35.3280,4.0,  35.3300,2.0,    255.3,2.0,    257.5,2.0,     2.00,2.0,     4.63,2.0,     4.63,     0.35,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2530,2.0
32,09AR20011029, SR03,8.0,1.0,16.0,16.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     61.1,  13.2530,  35.3290,4.0, -999.0000,9.0,    258.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2480,9.0
33,09AR20011029, SR03,8.0,1.0,15.0,15.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     61.3,  13.2570,  35.3250,4.0,  35.3290,2.0,    258.3,2.0,    257.5,2.0,     2.00,2.0,     4.64,2.0,     4.64,     0.33,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,  13.2520,2.0
34,09AR20011029, SR03,8.0,1.0,14.0,14.0,2.0,20011101.0,103.0,-45.7118,145.6485, 2125,  -999.00,     75.9,  13.2550,  35.3280,2.0, -999.0000,9.0,    257.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,    3.184,3.0,    1.846,3.0,    0.480,4.0,   2077.5,2.0,   2321.1,2.0,  13.2480,9.0
